Material,Material Description
41,Modules ELDORA 300P 300Wp - Dummy
9100000001,ADV CARGO DECLAR Fee
9100000002,AGENCY CHARGES
9100000003,AIR FREIGHT CHARGES
9100000005,ADV CARGO DECLAR Fee
9100000011,CUSTOM CLEARING SERVICE
9100000012,AIR FREIGHT EXPORT
9100000013,OTHER OCEAN CHARGES
9100000014,OCEAN FREIGHT EXPORT
9100000015,OCEAN FREIGHT import
9100000023,IT Design & Develp Service
9100000024,Management Consulting Charge
100131110180,TEST Material
101800000001,8 cell M6 (83x166)Half cell Bi-fi string
101800000002,8 cell M6 (83x166)Half cell mono string
101800000005,8 cell M6 (83x166)Half cell Bi-fi string
110000004880,CSR material
110000004881,Test Trading Material
110000004890,Test Trading Material
200100034500,PV Mod SOMERA VSM.72.340.03.04-36Mm
200100044500,PV Mod SOMERA VSM.72.340.03.04-36Mm
200100453410,PV MODULES SOMERA VSM.72.340.05-3T-40mm
200100463801,PV Mod SOMERA VSM.72.340.03.04-36Mm
200201033450,PV MODULES ELDORA VSPH.72.345.05-36M_D
200201033500,PV MODULES ELDORA VSPH.72.350.05-36M_D
200300013251,test FG
200300053400,PV MODULES ELDORA VSP.72.340.05-36MM
210000000001,FG Trading material - Satvik
210300013300,Trading module (Satvik)
210300013350,Trading module
220401205250,PV MODULE SOMERA VSMH 72.525.05-35M
220401205350,PV MODULE SOMERA VSMH 72.535.05-35M
220401205400,PV MODULE SOMERA VSMH 72.540.05-35M
290000000330,Warehousing Charges
290000000350,LAND
600006000097,L FOLDER
600006000100,Toluene LR Grade
600006000102,COUPON BOOK
600006000104,"ISOPROPYLE ALCHOL, LR GRADE"
600006000106,Module History Card(Green)
600006000109,Acetone LR Grade
600006000111,TELEPHONE INDEX
600006000115,MURITIC ACID
600006000117,XEROX PAPER-FS(LEGAL SIZE)
600006000118,Scotch Brith
600006000119,Credit Voucher
600006000122,Hydrochloric Acid (HCL) Industrial
600006000123,XEROX PAPER-A4 (VOUCHER SIZE)      Admin
600006000125,DOT MATRIX PAPER-10X12
600006000128,REGISTER(DAILY MIS PRODUCTION)
600006000132,DOT MATRIX PAPER-10X12
600006007981,Colour Coated Sheet
600006007982,MATERIAL STATUS CARD
600006007988,REGISTER (STOCK) - DESPATCH
600006008000,MATERIAL STATUS CARD
600006008014,"OTS 11856,POP UP PAD"
600006008023,DAK DISPATCH & RECEIPT REGISTER
600006008037,Stamp Pad Ink
600006008155,DAK DISPATCH & RECEIPT REGISTER
600006008161,Register MIS(Maintenance)
600006008232,STICKER(I.Q.C PASS)
600006008237,Register(Dispatch Outward)
600007000133,STICKER(I.Q.C PASS)
600007000134,"SCISSORS (CARTINI), 8"
600008000135,Scissors (Small)
600008000136,Brush-No-1
600008000138,Scissors (Small)
600008000139,BRUSH-1
600008000140,BRUSH-1/2
600008000143,BRUSH 5/8'
600008008948,BRUSH-1/2
600008008952,BRUSH FLIPPER (558210057-00)
600009000144,SIDE BRUSH(558230001-00)
600009000145,Knife Holder
600009000148,SIDE BRUSH(558230001-00)
600010000149,Knife Holder(Normal)
600011000150,"TWEEZER-NO-6, TITAN MAKE"
600011000151,Sprey Bottle Head
600012000153,"TWEEZER-NO-6, TITAN MAKE"
600012000154,Mallet-30mm(Red)
600012000155,Mallet-40mm(Red)
600012000156,MALLET WITH HANDLE (RUBBER-2)
600012000157,Mallet-40mm(Red)
600013000158,Manual Dishwash
600014000159,Filter Mask
600014000161,Aluminium Foil Paper
600015000165,Filter Mask
