Material,Material type,Material Group,Base Unit of Measure
100111100134,ZROH,CELL,EA
100111100135,ZROH,CELL,EA
100111100136,ZROH,CELL,EA
100111110009,ZROH,CELL,EA
100111110017,ZROH,CELL,EA
100112110023,ZROH,T0005,EA
100112110024,ZROH,T0005,EA
100112110092,ZROH,T0005,EA
100112110239,ZROH,CELL,EA
100112110246,ZROH,CELL,EA
100112110247,ZROH,CELL,EA
100112110248,ZROH,CELL,EA
100112110249,ZROH,CELL,EA
100112110250,ZROH,CELL,EA
100112110251,ZROH,CELL,EA
100112110252,ZROH,CELL,EA
100112110253,ZROH,CELL,EA
100112110254,ZROH,CELL,EA
100112110255,ZROH,CELL,EA
100120100003,ZROH,CELL,EA
100120100004,ZROH,CELL,EA
100120100023,ZROH,CELL,EA
100120100024,ZROH,CELL,EA
100120100026,ZROH,CELL,EA
100120100028,ZROH,CELL,EA
100120100034,ZROH,CELL,EA
100120100035,ZROH,CELL,EA
100120100039,ZROH,CELL,EA
100120100040,ZROH,CELL,EA
100120100041,ZROH,CELL,EA
100120100042,ZROH,CELL,EA
100120100043,ZROH,CELL,EA
100120100044,ZROH,CELL,EA
100120100045,ZROH,CELL,EA
100120100052,ZROH,CELL,EA
100120100053,ZROH,CELL,EA
100120100054,ZROH,CELL,EA
100120100055,ZROH,CELL,EA
100120100056,ZROH,CELL,EA
100120100057,ZROH,CELL,EA
100120100058,ZROH,CELL,EA
100120100059,ZROH,CELL,EA
100120100060,ZROH,CELL,EA
100120100061,ZROH,CELL,EA
100120100062,ZROH,CELL,EA
100120100063,ZROH,CELL,EA
100120100064,ZROH,CELL,EA
100120100065,ZROH,CELL,EA
100120100066,ZROH,CELL,EA
100120100067,ZROH,CELL,EA
100120100068,ZROH,CELL,EA
100120100069,ZROH,CELL,EA
100120100070,ZROH,CELL,EA
100120100071,ZROH,CELL,EA
100120100072,ZROH,CELL,EA
100120100074,ZROH,CELL,EA
100120100075,ZROH,CELL,EA
100120100077,ZROH,CELL,EA
100120100087,ZROH,CELL,EA
100120100088,ZROH,CELL,EA
100120100089,ZROH,CELL,EA
100120100091,ZROH,CELL,EA
100120100092,ZROH,CELL,EA
100120100093,ZROH,CELL,EA
100120100094,ZROH,CELL,EA
100120100095,ZROH,CELL,EA
100120100096,ZROH,CELL,EA
100120100097,ZROH,CELL,EA
100120100098,ZROH,CELL,EA
100120100099,ZROH,CELL,EA
100120100100,ZROH,CELL,EA
100120100101,ZROH,CELL,EA
100120100102,ZROH,CELL,EA
100120100103,ZROH,CELL,EA
100120100104,ZROH,CELL,EA
100120100105,ZROH,CELL,EA
100120100106,ZROH,CELL,EA
100120100110,ZROH,CELL,EA
100120100111,ZROH,CELL,EA
100120100112,ZROH,CELL,EA
100120100113,ZROH,CELL,EA
100120100114,ZROH,CELL,EA
100120100115,ZROH,CELL,EA
100120100116,ZROH,CELL,EA
