Material,Valuation area,Valuation Type,Del. flag val. type,Total Stock,Total Value,Price control,Moving price,Standard price,Price unit,Valuation Class,Value/mov. av. price,Tot.stock prev.per,Total value PP,Price control.1,MovAvgPrice PP,Standard price.1,Price unit PP,Valuation class,Value prev. period,Total stock PY,Total value PY,Price control.2,MovAvgPrice PY,Standard price.2,Price unit PY,Valuation class.1,Value previous year,Year current period,Current period,Valuation Category,Previous Price,Last Price Change,Future Price,Valid from,Time Stamp,Tax price 1,Commercial price 1,Tax price 3,Commercial price 3,Total val. YBL,Total stock in YBL,Total stock in PBL,Tot.val.per.bef.last,Future planned price,Planned price 1,Planned price 2,Planned price 3,Planned price date 1,Planned price date 2,Planned price date 3,Future cost est. pd,Curr. cost est. per.,Prev. cost est. per.,Future cost estimate,Current CostEstimate,PreviousCostEstimate,Overhead key,LIFO/FIFO-relevant,LIFO Pool,Commercial price 2,Tax price 2,Devaluation Ind.,Maintenance status,ProdCostEst.No.,Cost Estimate Number,Valuation Variant,Valuation Variant.1,Valuation Variant.2,Costing Version,Costing Version.1,Costing Version.2,Origin Group,Overhead Group,Posting Period,Current Period,Previous Period,Future Fiscal Year,Current Fiscal Year,Previous Fiscal Year,Cost Est. with Qty Structure,PreviousPlannedPrice,Mat. Ledger Active,Material Price Determination: Control,Current Planned Prc.,Total value at SP,Material origin,Phys. Inv. Block,Ph.inv. VO material,Date of Last Count,CC Phys. Inv. Ind.,Valuation margin,Fixed Current Plnd Price,Fixed Previous Plnd Price,"Future Plan Price, Fixed",Current Valuation Strategy,Previous Valuation Strategy,Future Valuation Strategy,VC: Sales order stk,Proj. stk val. class,Material Usage,Material origin.1,Produced in-house,Valuated UoM,Price unit.1,MBEWH rec. already exists for per. befor,VC: Spec. stk at vdr,MD Product valuation extension field ele,Prepaid Inventory
9100000005,9001,,,0.0,0.0,V,0.0,0.0,1,V102,0.0,0,0.0,V,0.0,0.0,1,V102,0.0,0,0.0,V,0.0,0.0,1,V102,0,2020,1,,0.0,,0,,00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,B,100290170,100290171,,,,0,0,0,,,0,0,0,,,,,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
9100000013,9001,,,0.0,0.0,V,0.0,0.0,1,V102,0.0,0,0.0,V,0.0,0.0,1,V102,0.0,0,0.0,V,0.0,0.0,1,V102,0,2020,1,,0.0,,0,,00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,B,100296663,100296664,,,,0,0,0,,,0,0,0,,,,,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
9100000013,IN03,,,0.0,0.0,V,0.0,0.0,1,V102,0.0,0,0.0,V,0.0,0.0,1,V102,0.0,0,0.0,V,0.0,0.0,1,V102,0,2018,6,,0.0,,0,,00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,B,100299143,100299144,,,,0,0,0,,,0,0,0,,,,,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
100110110021,1001,,,0.0,0.0,V,0.0,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0,2018,6,X,0.0,,0,,00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,BG,100001240,100001241,,,,0,0,0,,,0,0,0,,,,X,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
100111100134,1001,,,0.0,0.0,V,0.0,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0,2018,6,X,0.0,,0,,00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,BG,100001488,100001489,,,,0,0,0,,,0,0,0,,,,X,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
100111110015,1001,0055530-SP,,83.0,5757.29,V,69.36,0.0,1,4011,0.0,0,0.0,,69.36,0.0,1,,0.0,0,0.0,,69.36,0.0,1,,0,2018,12,X,0.0,,0,,2019-03-24 06:02:06,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,,100240713,100240714,,,,0,0,0,,,0,0,0,,,,,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,4011.0,4011.0,,,,,0,,,,
100120100001,1001,,,240.0,7092.29,V,29.55,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0,2019,1,X,0.0,,0,,2019-04-23 11:12:35,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,BG,100001198,100001199,,,,0,0,0,,,0,0,0,,,,X,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
100120100026,1001,,,4611.0,259096.35,V,56.19,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0.0,0,0.0,V,0.01,0.0,1,4011,0,2019,1,X,0.0,,0,,2019-04-22 11:19:01,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,BG,100001250,100001251,,,,0,0,0,,,0,0,0,,,,X,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,,,,,,,0,,,,
100120100026,1001,2025455001,,1900.0,114530.28,V,60.28,0.0,1,4011,0.0,0,0.0,,60.28,0.0,1,,0.0,0,0.0,,60.28,0.0,1,,0,2018,11,X,0.0,,0,,2019-03-04 21:24:13,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,,100204470,100204471,,,,0,0,0,,,0,0,0,,,,X,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,4011.0,4011.0,,,,,0,,,,
100120100027,1001,ARKA,,200.0,200000.0,V,1000.0,0.0,1,4011,0.0,0,0.0,,1000.0,0.0,1,,0.0,0,0.0,,1000.0,0.0,1,,0,2024,10,X,0.0,,0,,2025-01-07 09:49:15,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,0,0,0,,,,,,,0,0,0,,100311018,100311019,,,,0,0,0,,,0,0,0,,,,X,0.0,X,2.0,0.0,0,,,,,,0,0.0,0.0,0,,,,4011.0,4011.0,,,,,0,,,,
