Material,Sales Organization,Distribution Channel,Product hierarchy
9100000013,IN10,SD,
100900030036,IN01,ST,
101801110001,IN01,DI,
110000000000,IN02,SD,
110000000000,IN03,SD,
110000000001,IN02,SD,
110000000001,IN03,SD,
110000000002,IN02,SD,
110000000002,IN03,SD,
110000000003,IN02,SD,
110000000003,IN03,SD,
110000000004,IN02,SD,
110000000004,IN03,SD,
110000000005,IN02,SD,
110000000005,IN03,SD,
110000000006,IN02,SD,
110000000006,IN03,SD,
110000000007,IN02,SD,
110000000007,IN03,SD,
110000000008,IN02,SD,
110000000008,IN03,SD,
110000000009,IN02,SD,
110000000009,IN03,SD,
110000000010,IN02,SD,
110000000010,IN03,SD,
110000000011,IN02,SD,
110000000011,IN03,SD,
110000000012,IN02,SD,
110000000012,IN03,SD,
110000000013,IN02,SD,
110000000013,IN03,SD,
110000000014,IN02,SD,
110000000014,IN03,SD,
110000000015,IN02,SD,
110000000015,IN03,SD,
110000000016,IN02,SD,
110000000016,IN03,SD,
110000000017,IN02,SD,
110000000017,IN03,SD,
110000000018,IN02,SD,
110000000018,IN03,SD,
110000000019,IN02,SD,
110000000019,IN03,SD,
110000000020,IN02,SD,
110000000020,IN03,SD,
110000000021,IN02,SD,
110000000021,IN03,SD,
110000000022,IN02,SD,
110000000022,IN03,SD,
110000000023,IN02,SD,
110000000023,IN03,SD,
110000000024,IN02,SD,
110000000024,IN03,SD,
110000000025,IN02,SD,
110000000025,IN02,ST,
110000000025,IN03,SD,
110000000025,IN03,ST,
110000000026,IN02,SD,
110000000026,IN03,SD,
110000000027,IN02,SD,
110000000027,IN03,SD,
110000000028,IN02,SD,
110000000028,IN03,SD,
110000000029,IN02,SD,
110000000029,IN03,SD,
110000000030,IN02,SD,
110000000030,IN03,SD,
110000000031,IN02,SD,
110000000031,IN03,SD,
110000000032,IN02,SD,
110000000032,IN03,SD,
110000000033,IN02,SD,
110000000033,IN03,SD,
110000000034,IN02,SD,
110000000034,IN03,SD,
110000000035,IN02,SD,
110000000035,IN03,SD,
110000000036,IN02,SD,
110000000036,IN03,SD,
110000000037,IN02,SD,
110000000037,IN03,SD,
110000000038,IN02,SD,
110000000038,IN03,SD,
110000000039,IN02,SD,
110000000039,IN03,SD,
110000000040,IN02,SD,
110000000040,IN03,SD,
110000000041,IN02,SD,
110000000041,IN03,SD,
110000000042,IN02,SD,
110000000042,IN03,SD,
110000000043,IN02,SD,
110000000043,IN03,SD,
110000000044,IN02,SD,
110000000044,IN03,SD,
110000000045,IN02,SD,
110000000045,IN03,SD,
110000000046,IN02,SD,
110000000046,IN03,SD,
110000000047,IN02,SD,
110000000047,IN03,SD,
110000000048,IN02,SD,
110000000048,IN03,SD,
110000000049,IN02,SD,
110000000049,IN03,SD,
110000000050,IN02,SD,
110000000051,IN02,SD,
110000000051,IN03,SD,
110000000052,IN02,SD,
110000000052,IN03,SD,
110000000053,IN02,SD,
