Doc. Condition No.,ItemNo,Step Number,Counter,Condition Type,Calculation Type,Amount,Currency,Condition Unit,Value
$       1,135,15,1,ZA00,A,0.0,,,0.0
$       2,4,15,1,ZA00,A,0.0,,,0.0
0000012305,10,10,1,P001,C,100000.0,INR,EA,2800000.0
0000012305,10,25,1,ZBSP,A,100.0,,,2800000.0
0000012305,10,42,1,ZBPW,A,100.0,,,294.12
0000012624,10,15,1,ZINT,A,1.11,,,0.0
0000012853,1000,25,1,ZBSP,A,100.0,,,0.0
1000008154,3,15,1,ZA00,A,0.0,,,0.0
1000008206,3,15,1,ZA00,A,0.0,,,0.0
1000008211,3,15,1,ZA00,A,0.0,,,0.0
1000008213,4,15,1,ZA00,A,0.0,,,0.0
1000008215,5,15,1,ZA00,A,0.0,,,0.0
1000008217,6,15,1,ZA00,A,0.0,,,0.0
1000008219,7,15,1,ZA00,A,0.0,,,0.0
1000008224,3,15,1,ZA00,A,0.0,,,0.0
1000008229,3,15,1,ZA00,A,0.0,,,0.0
1000008234,3,15,1,ZA00,A,0.0,,,0.0
1000008239,3,15,1,ZA00,A,0.0,,,0.0
1000008244,3,15,1,ZA00,A,0.0,,,0.0
1000008249,3,15,1,ZA00,A,0.0,,,0.0
1000008254,3,15,1,ZA00,A,0.0,,,0.0
1000008259,3,15,1,ZA00,A,0.0,,,0.0
1000008264,3,15,1,ZA00,A,0.0,,,0.0
1000008269,3,15,1,ZA00,A,0.0,,,0.0
1000008274,3,15,1,ZA00,A,0.0,,,0.0
1000008276,4,15,1,ZA00,A,0.0,,,0.0
1000008281,3,15,1,ZA00,A,0.0,,,0.0
1000008288,3,15,1,ZA00,A,0.0,,,0.0
1000008293,3,15,1,ZA00,A,0.0,,,0.0
1000008298,3,15,1,ZA00,A,0.0,,,0.0
1000008300,4,15,1,ZA00,A,0.0,,,0.0
1000008305,3,15,1,ZA00,A,0.0,,,0.0
1000008310,3,15,1,ZA00,A,0.0,,,0.0
1000008315,3,15,1,ZA00,A,0.0,,,0.0
1000008320,3,15,1,ZA00,A,0.0,,,0.0
1000008325,3,15,1,ZA00,A,0.0,,,0.0
1000008327,4,15,1,ZA00,A,0.0,,,0.0
1000008332,3,15,1,ZA00,A,0.0,,,0.0
1000008337,3,15,1,ZA00,A,0.0,,,0.0
1000008342,3,15,1,ZA00,A,0.0,,,0.0
1000008347,3,15,1,ZA00,A,0.0,,,0.0
1000008349,4,15,1,ZA00,A,0.0,,,0.0
1000008354,3,15,1,ZA00,A,0.0,,,0.0
1000008359,3,15,1,ZA00,A,0.0,,,0.0
1000008364,3,15,1,ZA00,A,0.0,,,0.0
1000008369,3,15,1,ZA00,A,0.0,,,0.0
1000008374,3,15,1,ZA00,A,0.0,,,0.0
1000008376,4,15,1,ZA00,A,0.0,,,0.0
1000008381,3,15,1,ZA00,A,0.0,,,0.0
1000008386,3,15,1,ZA00,A,0.0,,,0.0
1000008388,4,15,1,ZA00,A,0.0,,,0.0
1000008393,3,15,1,ZA00,A,0.0,,,0.0
1000008398,3,15,1,ZA00,A,0.0,,,0.0
1000008403,3,15,1,ZA00,A,0.0,,,0.0
1000008405,4,15,1,ZA00,A,0.0,,,0.0
1000008407,5,15,1,ZA00,A,0.0,,,0.0
1000008412,3,15,1,ZA00,A,0.0,,,0.0
1000008417,3,15,1,ZA00,A,0.0,,,0.0
1000008422,3,15,1,ZA00,A,0.0,,,0.0
1000008424,4,15,1,ZA00,A,0.0,,,0.0
1000008426,5,15,1,ZA00,A,0.0,,,0.0
1000008431,3,15,1,ZA00,A,0.0,,,0.0
1000008436,3,15,1,ZA00,A,0.0,,,0.0
1000008441,3,15,1,ZA00,A,0.0,,,0.0
1000008446,3,15,1,ZA00,A,0.0,,,0.0
1000008451,3,15,1,ZA00,A,0.0,,,0.0
1000008456,3,15,1,ZA00,A,0.0,,,0.0
1000008461,3,15,1,ZA00,A,0.0,,,0.0
1000008466,3,15,1,ZA00,A,0.0,,,0.0
1000008471,3,15,1,ZA00,A,0.0,,,0.0
1000008476,3,15,1,ZA00,A,0.0,,,0.0
1000008481,3,15,1,ZA00,A,0.0,,,0.0
1000008483,4,15,1,ZA00,A,0.0,,,0.0
1000008488,3,15,1,ZA00,A,0.0,,,0.0
1000008493,3,15,1,ZA00,A,0.0,,,0.0
1000008498,3,15,1,ZA00,A,0.0,,,0.0
1000008503,3,15,1,ZA00,A,0.0,,,0.0
1000008508,3,15,1,ZA00,A,0.0,,,0.0
1000008513,3,15,1,ZA00,A,0.0,,,0.0
1000008518,3,15,1,ZA00,A,0.0,,,0.0
1000008523,3,15,1,ZA00,A,0.0,,,0.0
1000008528,3,15,1,ZA00,A,0.0,,,0.0
1000008533,3,15,1,ZA00,A,0.0,,,0.0
1000008538,3,15,1,ZA00,A,0.0,,,0.0
1000008543,3,15,1,ZA00,A,0.0,,,0.0
1000008548,3,15,1,ZA00,A,0.0,,,0.0
1000008553,3,15,1,ZA00,A,0.0,,,0.0
1000008558,3,15,1,ZA00,A,0.0,,,0.0
1000008563,3,15,1,ZA00,A,0.0,,,0.0
1000008568,3,15,1,ZA00,A,0.0,,,0.0
1000008570,4,15,1,ZA00,A,0.0,,,0.0
1000008572,5,15,1,ZA00,A,0.0,,,0.0
1000008574,6,15,1,ZA00,A,0.0,,,0.0
1000008576,7,15,1,ZA00,A,0.0,,,0.0
1000008578,8,15,1,ZA00,A,0.0,,,0.0
1000008580,9,15,1,ZA00,A,0.0,,,0.0
1000008585,3,15,1,ZA00,A,0.0,,,0.0
1000008590,3,15,1,ZA00,A,0.0,,,0.0
1000008592,4,15,1,ZA00,A,0.0,,,0.0
1000008594,5,15,1,ZA00,A,0.0,,,0.0
1000008596,6,15,1,ZA00,A,0.0,,,0.0
1000008598,7,15,1,ZA00,A,0.0,,,0.0
1000008600,8,15,1,ZA00,A,0.0,,,0.0
1000008602,9,15,1,ZA00,A,0.0,,,0.0
1000008604,10,15,1,ZA00,A,0.0,,,0.0
1000008606,11,15,1,ZA00,A,0.0,,,0.0
1000008611,3,15,1,ZA00,A,0.0,,,0.0
1000008616,3,15,1,ZA00,A,0.0,,,0.0
1000008618,4,15,1,ZA00,A,0.0,,,0.0
1000008623,3,15,1,ZA00,A,0.0,,,0.0
1000008628,3,15,1,ZA00,A,0.0,,,0.0
1000008630,4,15,1,ZA00,A,0.0,,,0.0
1000008635,3,15,1,ZA00,A,0.0,,,0.0
1000008640,3,15,1,ZA00,A,0.0,,,0.0
1000008645,3,15,1,ZA00,A,0.0,,,0.0
1000008647,4,15,1,ZA00,A,0.0,,,0.0
1000008649,5,15,1,ZA00,A,0.0,,,0.0
1000008651,6,15,1,ZA00,A,0.0,,,0.0
1000008653,7,15,1,ZA00,A,0.0,,,0.0
1000008658,3,15,1,ZA00,A,0.0,,,0.0
1000008660,4,15,1,ZA00,A,0.0,,,0.0
1000008665,3,15,1,ZA00,A,0.0,,,0.0
1000008670,3,15,1,ZA00,A,0.0,,,0.0
1000008672,4,15,1,ZA00,A,0.0,,,0.0
1000008677,3,15,1,ZA00,A,0.0,,,0.0
1000008682,3,15,1,ZA00,A,0.0,,,0.0
1000008684,4,15,1,ZA00,A,0.0,,,0.0
1000008686,5,15,1,ZA00,A,0.0,,,0.0
1000008691,3,15,1,ZA00,A,0.0,,,0.0
1000008696,3,15,1,ZA00,A,0.0,,,0.0
1000008698,4,15,1,ZA00,A,0.0,,,0.0
1000008700,5,15,1,ZA00,A,0.0,,,0.0
1000008702,6,15,1,ZA00,A,0.0,,,0.0
1000008707,3,15,1,ZA00,A,0.0,,,0.0
1000008709,4,15,1,ZA00,A,0.0,,,0.0
1000008714,3,15,1,ZA00,A,0.0,,,0.0
1000008719,3,15,1,ZA00,A,0.0,,,0.0
1000008721,4,15,1,ZA00,A,0.0,,,0.0
1000008726,3,15,1,ZA00,A,0.0,,,0.0
1000008731,3,15,1,ZA00,A,0.0,,,0.0
1000008736,3,15,1,ZA00,A,0.0,,,0.0
1000008741,3,15,1,ZA00,A,0.0,,,0.0
1000008746,3,15,1,ZA00,A,0.0,,,0.0
1000008751,3,15,1,ZA00,A,0.0,,,0.0
1000008756,3,15,1,ZA00,A,0.0,,,0.0
1000008761,3,15,1,ZA00,A,0.0,,,0.0
1000008766,3,15,1,ZA00,A,0.0,,,0.0
1000008771,3,15,1,ZA00,A,0.0,,,0.0
1000008776,3,15,1,ZA00,A,0.0,,,0.0
1000008781,3,15,1,ZA00,A,0.0,,,0.0
1000008783,4,15,1,ZA00,A,0.0,,,0.0
1000008788,3,15,1,ZA00,A,0.0,,,0.0
1000008793,3,15,1,ZA00,A,0.0,,,0.0
1000008798,3,15,1,ZA00,A,0.0,,,0.0
1000008803,3,15,1,ZA00,A,0.0,,,0.0
1000008808,3,15,1,ZA00,A,0.0,,,0.0
1000008810,4,15,1,ZA00,A,0.0,,,0.0
1000008812,5,15,1,ZA00,A,0.0,,,0.0
1000008814,6,15,1,ZA00,A,0.0,,,0.0
1000008816,7,15,1,ZA00,A,0.0,,,0.0
1000008818,8,15,1,ZA00,A,0.0,,,0.0
1000008820,9,15,1,ZA00,A,0.0,,,0.0
1000008822,10,15,1,ZA00,A,0.0,,,0.0
1000008824,11,15,1,ZA00,A,0.0,,,0.0
1000008826,12,15,1,ZA00,A,0.0,,,0.0
1000008828,13,15,1,ZA00,A,0.0,,,0.0
1000008830,14,15,1,ZA00,A,0.0,,,0.0
1000008832,15,15,1,ZA00,A,0.0,,,0.0
1000008834,16,15,1,ZA00,A,0.0,,,0.0
1000008836,17,15,1,ZA00,A,0.0,,,0.0
1000008838,18,15,1,ZA00,A,0.0,,,0.0
1000008840,19,15,1,ZA00,A,0.0,,,0.0
1000008842,20,15,1,ZA00,A,0.0,,,0.0
1000008844,21,15,1,ZA00,A,0.0,,,0.0
1000008846,22,15,1,ZA00,A,0.0,,,0.0
1000008848,23,15,1,ZA00,A,0.0,,,0.0
1000008850,24,15,1,ZA00,A,0.0,,,0.0
1000008852,25,15,1,ZA00,A,0.0,,,0.0
1000008854,26,15,1,ZA00,A,0.0,,,0.0
1000008856,27,15,1,ZA00,A,0.0,,,0.0
1000008858,28,15,1,ZA00,A,0.0,,,0.0
1000008863,3,15,1,ZA00,A,0.0,,,0.0
1000008868,3,15,1,ZA00,A,0.0,,,0.0
1000008870,4,15,1,ZA00,A,0.0,,,0.0
1000008872,5,15,1,ZA00,A,0.0,,,0.0
1000008877,3,15,1,ZA00,A,0.0,,,0.0
1000008882,3,15,1,ZA00,A,0.0,,,0.0
1000008884,4,15,1,ZA00,A,0.0,,,0.0
1000008886,5,15,1,ZA00,A,0.0,,,0.0
1000008891,3,15,1,ZA00,A,0.0,,,0.0
1000008896,3,15,1,ZA00,A,0.0,,,0.0
1000008898,4,15,1,ZA00,A,0.0,,,0.0
1000008903,3,15,1,ZA00,A,0.0,,,0.0
1000008908,3,15,1,ZA00,A,0.0,,,0.0
1000008913,3,15,1,ZA00,A,0.0,,,0.0
1000008918,3,15,1,ZA00,A,0.0,,,0.0
1000008923,3,15,1,ZA00,A,0.0,,,0.0
1000008928,3,15,1,ZA00,A,0.0,,,0.0
1000008933,3,15,1,ZA00,A,0.0,,,0.0
1000008935,4,15,1,ZA00,A,0.0,,,0.0
1000008940,3,15,1,ZA00,A,0.0,,,0.0
1000008942,4,15,1,ZA00,A,0.0,,,0.0
1000008947,3,15,1,ZA00,A,0.0,,,0.0
1000008949,4,15,1,ZA00,A,0.0,,,0.0
1000008954,3,15,1,ZA00,A,0.0,,,0.0
1000008959,3,15,1,ZA00,A,0.0,,,0.0
1000008964,3,15,1,ZA00,A,0.0,,,0.0
1000008966,4,15,1,ZA00,A,0.0,,,0.0
1000008968,5,15,1,ZA00,A,0.0,,,0.0
1000008970,6,15,1,ZA00,A,0.0,,,0.0
1000008972,7,15,1,ZA00,A,0.0,,,0.0
1000008977,3,15,1,ZA00,A,0.0,,,0.0
1000008982,3,15,1,ZA00,A,0.0,,,0.0
1000008987,3,15,1,ZA00,A,0.0,,,0.0
1000008992,3,15,1,ZA00,A,0.0,,,0.0
1000008994,4,15,1,ZA00,A,0.0,,,0.0
1000008996,5,15,1,ZA00,A,0.0,,,0.0
1000008998,6,15,1,ZA00,A,0.0,,,0.0
1000009000,7,15,1,ZA00,A,0.0,,,0.0
1000009005,3,15,1,ZA00,A,0.0,,,0.0
1000009007,4,15,1,ZA00,A,0.0,,,0.0
1000009012,3,15,1,ZA00,A,0.0,,,0.0
1000009017,3,15,1,ZA00,A,0.0,,,0.0
1000009022,3,15,1,ZA00,A,0.0,,,0.0
1000009027,3,15,1,ZA00,A,0.0,,,0.0
1000009032,3,15,1,ZA00,A,0.0,,,0.0
1000009037,3,15,1,ZA00,A,0.0,,,0.0
1000009039,4,15,1,ZA00,A,0.0,,,0.0
1000009044,3,15,1,ZA00,A,0.0,,,0.0
1000009049,3,15,1,ZA00,A,0.0,,,0.0
1000009054,3,15,1,ZA00,A,0.0,,,0.0
1000009056,4,15,1,ZA00,A,0.0,,,0.0
1000009061,3,15,1,ZA00,A,0.0,,,0.0
1000009066,3,15,1,ZA00,A,0.0,,,0.0
1000009071,3,15,1,ZA00,A,0.0,,,0.0
1000009076,3,15,1,ZA00,A,0.0,,,0.0
1000009081,3,15,1,ZA00,A,0.0,,,0.0
1000009086,3,15,1,ZA00,A,0.0,,,0.0
1000009091,3,15,1,ZA00,A,0.0,,,0.0
1000009096,3,15,1,ZA00,A,0.0,,,0.0
1000009101,3,15,1,ZA00,A,0.0,,,0.0
1000009106,3,15,1,ZA00,A,0.0,,,0.0
1000009108,4,15,1,ZA00,A,0.0,,,0.0
1000009110,5,15,1,ZA00,A,0.0,,,0.0
1000009112,6,15,1,ZA00,A,0.0,,,0.0
1000009114,7,15,1,ZA00,A,0.0,,,0.0
1000009116,8,15,1,ZA00,A,0.0,,,0.0
