Sales document,Created on,Sales Document Type,Sales Organization,Distribution Channel,Division,Sold-to Party
,,,,,,
1.0,2025-08-14,ZPS,IN01,DI,CD,1000103
2.0,2025-08-14,ZPS,IN01,DI,CD,1000103
10000000.0,2019-03-09,ZTY2,IN01,DI,CD,1003678
10000001.0,2019-03-09,ZTY2,IN01,DI,CD,1003679
10000002.0,2019-03-09,ZTY2,IN01,DI,CD,1003678
10000003.0,2019-03-09,ZSM1,IN01,DI,CD,1003677
10000007.0,2019-03-11,ZTY2,IN01,DI,CD,1000134
10000008.0,2019-03-11,ZTY2,IN01,DI,CD,1003368
10000009.0,2019-03-11,ZTY2,IN01,DI,CD,1000128
10000010.0,2019-03-11,ZTY2,IN01,DI,CD,1003365
10000011.0,2019-03-11,ZTY2,IN01,DI,CD,1000089
10000012.0,2019-03-11,ZTY2,IN01,DI,CD,1000011
10000013.0,2019-03-11,ZTY2,IN01,DI,CD,1000076
10000017.0,2019-03-11,ZTY2,IN01,DI,CD,1000049
10000018.0,2019-03-11,ZTY2,IN01,DI,CD,1000053
10000022.0,2019-03-12,ZTY2,IN01,DT,CD,1000206
10000025.0,2019-03-12,ZTY3,IN01,DI,CD,1000031
10000027.0,2019-03-12,ZTY1,IN01,DI,CD,1003685
10000030.0,2019-03-12,ZTY1,IN01,DI,CD,1000206
10000031.0,2019-03-13,ZTY2,IN01,DI,CD,1000123
10000032.0,2019-03-13,ZTY2,IN01,DI,CD,1000013
10000033.0,2019-03-13,ZTY2,IN01,DI,CD,1000181
10000035.0,2019-03-13,ZTY2,IN01,DI,CD,1000052
10000036.0,2019-03-13,ZTY1,IN01,DT,CD,1000016
10000037.0,2019-03-13,ZTY1,IN01,DT,CD,1000022
10000038.0,2019-03-13,ZTY1,IN01,DT,CD,1000022
10000039.0,2019-03-13,ZTY2,IN01,DI,CD,1003365
10000040.0,2019-03-13,ZTY2,IN01,DI,CD,1003724
10000041.0,2019-03-13,ZTY2,IN01,DI,CD,1003722
10000042.0,2019-03-13,ZTY1,IN01,DI,CD,1000203
10000043.0,2019-03-13,ZTY1,IN01,DI,CD,1003560
10000044.0,2019-03-13,ZTY2,IN01,DI,CD,1000182
10000045.0,2019-03-13,ZSO3,IN03,SD,CD,1000312
10000046.0,2019-03-13,ZTY1,IN01,DI,CD,1003683
10000047.0,2019-03-13,ZTY2,IN01,DI,CD,1000153
10000048.0,2019-03-13,ZTY2,IN01,DI,CD,1000134
10000049.0,2019-03-13,ZTY2,IN01,DI,CD,1000159
10000050.0,2019-03-13,ZTY2,IN01,DI,CD,1003723
10000051.0,2019-03-13,ZTY1,IN01,DT,CD,1000167
10000052.0,2019-03-13,ZTY2,IN01,DI,CD,1000047
10000053.0,2019-03-14,ZTY2,IN01,DI,CD,1003373
10000054.0,2019-03-14,ZTY2,IN01,DI,CD,1003561
10000055.0,2019-03-14,ZTY2,IN01,DI,CD,1000049
10000056.0,2019-03-14,ZTY1,IN01,DT,CD,1000030
10000057.0,2019-03-14,ZTY1,IN01,DT,CD,1000203
10000058.0,2019-03-14,ZTY1,IN01,DI,CD,1000052
10000059.0,2019-03-14,ZTY2,IN01,DI,CD,1000038
10000060.0,2019-03-14,ZTY2,IN01,DI,CD,1000013
10000061.0,2019-03-14,ZTY2,IN01,DI,CD,1000133
10000062.0,2019-03-14,ZTY2,IN01,DI,CD,1003722
10000063.0,2019-03-14,ZTY1,IN01,DI,CD,1003371
10000064.0,2019-03-14,ZTY1,IN01,DT,CD,1000161
10000065.0,2019-03-14,ZTY1,IN01,DI,CD,1003739
10000066.0,2019-03-14,ZTY2,IN01,DI,CD,1000147
10000067.0,2019-03-14,ZSO5,IN03,SD,CD,1000312
10000069.0,2019-03-14,ZTY2,IN01,DI,CD,1000053
10000070.0,2019-03-14,ZTY2,IN01,DI,CD,1000191
10000071.0,2019-03-14,ZTY2,IN01,DI,CD,1000191
10000072.0,2019-03-14,ZTY2,IN01,DI,CD,1000194
10000073.0,2019-03-14,ZTY2,IN01,DI,CD,1000154
10000074.0,2019-03-14,ZTY1,IN01,DT,CD,1000167
10000076.0,2019-03-14,ZTY3,IN01,DI,CD,1000031
10000078.0,2019-03-14,ZTY1,IN01,DT,CD,1000206
10000079.0,2019-03-14,ZTY1,IN01,DI,CD,1000118
10000080.0,2019-03-14,ZTY2,IN01,DI,CD,1003559
10000081.0,2019-03-15,ZTY1,IN01,DT,CD,1000023
10000082.0,2019-03-15,ZOR,IN01,DI,CD,1003738
10000083.0,2019-03-15,ZTY1,IN01,DT,CD,1000206
10000084.0,2019-03-15,ZTY1,IN01,DT,CD,1000161
10000085.0,2019-03-15,ZTY1,IN01,DI,CD,1000052
10000086.0,2019-03-15,ZTY2,IN01,DI,CD,1000061
10000087.0,2019-03-15,ZTY2,IN01,DI,CD,1000131
10000095.0,2019-03-15,ZTY1,IN01,DT,CD,1000022
10000096.0,2019-03-15,ZTY1,IN01,DT,CD,1000203
10000097.0,2019-03-15,ZTY1,IN01,DT,CD,1000203
10000098.0,2019-03-15,ZTY2,IN01,DI,CD,1003760
10000100.0,2019-03-15,ZTY1,IN01,DI,CD,1003375
10000101.0,2019-03-15,ZOR,IN01,DI,CD,1000002
10000102.0,2019-03-15,ZTY2,IN01,DI,CD,1003753
10000103.0,2019-03-15,ZTY2,IN01,DI,CD,1003747
10000104.0,2019-03-15,ZTY2,IN01,DI,CD,1003748
10000105.0,2019-03-15,ZTY2,IN01,DI,CD,1003748
10000106.0,2019-03-16,ZTY1,IN01,DT,CD,1000016
10000108.0,2019-03-16,ZTY2,IN01,DI,CD,1000162
10000110.0,2019-03-16,ZTY1,IN01,DT,CD,1000161
10000111.0,2019-03-16,ZTY2,IN01,DI,CD,1003744
10000112.0,2019-03-16,ZTY2,IN01,DI,CD,1003365
10000113.0,2019-03-16,ZTY2,IN01,DI,CD,1000204
10000114.0,2019-03-16,ZTY2,IN01,DI,CD,1003766
10000115.0,2019-03-16,ZTY1,IN01,DI,CD,1000052
10000116.0,2019-03-16,ZTY1,IN01,DT,CD,1000167
10000117.0,2019-03-16,ZOR,IN01,DI,CD,1003738
10000118.0,2019-03-16,ZTY1,IN01,DT,CD,1000187
10000119.0,2019-03-16,ZTY3,IN01,DI,CD,1003361
10000120.0,2019-03-16,ZTY2,IN01,DI,CD,1003559
10000122.0,2019-03-16,ZTY1,IN01,DT,CD,1000187
10000126.0,2019-03-18,ZOR,IN01,DI,CD,1000002
10000127.0,2019-03-18,ZTY1,IN01,DT,CD,1000206
10000128.0,2019-03-18,ZTY2,IN01,DI,CD,1003372
10000129.0,2019-03-18,ZTY2,IN01,DI,CD,1003370
10000130.0,2019-03-18,ZTY1,IN01,DT,CD,1000206
10000131.0,2019-03-18,ZSO1,IN03,SD,CD,1000105
10000132.0,2019-03-18,ZTY1,IN01,DT,CD,1000016
10000133.0,2019-03-18,ZTY1,IN01,DT,CD,1000161
10000134.0,2019-03-18,ZTY1,IN01,DT,CD,1000055
10000135.0,2019-03-18,ZSO3,IN03,SD,CD,1000315
10000136.0,2019-03-18,ZSO5,IN03,SD,CD,1000315
10000137.0,2019-03-18,ZRP1,IN01,DI,CD,1000132
10000138.0,2019-03-18,ZTY1,IN01,DT,CD,1000052
10000139.0,2019-03-18,ZTY2,IN01,DI,CD,1003783
10000140.0,2019-03-19,ZTY2,IN01,DI,CD,1003796
10000142.0,2019-03-19,ZTY2,IN01,DI,CD,1003795
10000143.0,2019-03-19,ZTY2,IN01,DI,CD,1000137
10000144.0,2019-03-19,ZTY2,IN01,DI,CD,1000035
10000145.0,2019-03-19,ZTY1,IN01,DT,CD,1000030
10000146.0,2019-03-19,ZTY1,IN01,DT,CD,1000016
10000147.0,2019-03-19,ZTY1,IN01,DT,CD,1000187
10000148.0,2019-03-19,ZTY2,IN01,DI,CD,1000096
10000149.0,2019-03-19,ZTY2,IN01,DI,CD,1003559
10000150.0,2019-03-19,ZTY2,IN01,DI,CD,1003811
10000151.0,2019-03-19,ZTY2,IN01,DI,CD,1000178
10000152.0,2019-03-20,ZTY2,IN01,DI,CD,1003794
10000153.0,2019-03-20,ZTY2,IN01,DI,CD,1000181
10000154.0,2019-03-20,ZTY2,IN01,DI,CD,1000181
10000156.0,2019-03-20,ZTY1,IN01,DT,CD,1000022
10000157.0,2019-03-20,ZTY1,IN01,DT,CD,1000203
10000158.0,2019-03-20,ZOR,IN01,DI,CD,1000052
10000159.0,2019-03-20,ZOR,IN01,DI,CD,1000052
10000160.0,2019-03-20,ZSO1,IN02,SD,CD,1000217
10000161.0,2019-03-20,ZTY3,IN01,DI,CD,1000032
10000162.0,2019-03-20,ZTY2,IN01,DI,CD,1003817
10000163.0,2019-03-20,ZTY2,IN01,DI,CD,1003823
10000164.0,2019-03-20,ZTY1,IN01,DT,CD,1000161
10000165.0,2019-03-20,ZTY2,IN01,DI,CD,1000147
10000166.0,2019-03-20,ZTY2,IN01,DI,CD,1003826
10000167.0,2019-03-20,ZTY2,IN01,DI,CD,1003559
10000169.0,2019-03-20,ZSO3,IN02,SD,CD,1000218
10000170.0,2019-03-20,ZSS1,IN01,DI,CD,PL1002
10000171.0,2019-03-20,ZSO5,IN02,SD,CD,1000218
10000172.0,2019-03-20,ZSO4,IN02,SD,CD,1000218
10000173.0,2019-03-20,ZSO5,IN02,SD,CD,1000218
10000174.0,2019-03-20,ZSO4,IN02,SD,CD,1000218
10000175.0,2019-03-20,ZSO5,IN02,SD,CD,1000218
10000176.0,2019-03-20,ZSO4,IN02,SD,CD,1000218
10000177.0,2019-03-20,ZSO5,IN02,SD,CD,1000218
10000178.0,2019-03-20,ZSO4,IN02,SD,CD,1000218
10000179.0,2019-03-20,ZSO5,IN02,SD,CD,1000218
10000180.0,2019-03-20,ZTY3,IN01,DI,CD,1000165
10000181.0,2019-03-20,ZSO4,IN02,SD,CD,1000004
10000182.0,2019-03-20,ZSO5,IN02,SD,CD,1000004
10000184.0,2019-03-20,ZSO4,IN02,SD,CD,1000004
10000185.0,2019-03-20,ZTY1,IN01,DT,CD,1000167
10000186.0,2019-03-20,ZSO5,IN02,SD,CD,1000004
10000187.0,2019-03-20,ZSO4,IN02,SD,CD,1000004
10000188.0,2019-03-20,ZSO5,IN02,SD,CD,1000004
10000189.0,2019-03-21,ZTY2,IN01,DI,CD,1000108
10000190.0,2019-03-21,ZTY1,IN01,DI,CD,1003375
10000191.0,2019-03-21,ZTY2,IN01,DI,CD,1000151
10000193.0,2019-03-22,ZTY1,IN01,DT,CD,1000161
10000195.0,2019-03-22,ZTY1,IN01,DT,CD,1000203
10000196.0,2019-03-22,ZTY2,IN01,DI,CD,1000064
10000201.0,2019-03-22,ZTY2,IN01,DI,CD,1000162
10000203.0,2019-03-22,ZTY2,IN01,DI,CD,1000175
10000204.0,2019-03-22,ZTY2,IN01,DI,CD,1003824
10000205.0,2019-03-22,ZTY2,IN01,DI,CD,1000152
10000207.0,2019-03-22,ZTY2,IN01,DI,CD,1003559
10000208.0,2019-03-22,ZTY1,IN01,DI,CD,1000052
10000209.0,2019-03-22,ZTY1,IN01,DT,CD,1000052
10000210.0,2019-03-22,ZTY1,IN01,DT,CD,1000016
10000211.0,2019-03-22,ZEX3,IN01,EX,CD,1003797
10000212.0,2019-03-22,ZTY1,IN01,DT,CD,1000055
10000213.0,2019-03-22,ZTY2,IN01,DI,CD,1003796
10000215.0,2019-03-23,ZOR,IN01,DI,CD,1000009
10000216.0,2019-03-23,ZRP1,IN01,DI,CD,1000151
10000217.0,2019-03-23,ZOR,IN01,DT,CD,1000203
10000218.0,2019-03-23,ZTY2,IN01,DI,CD,1003365
10000219.0,2019-03-25,ZOR,IN01,DT,CD,1000167
10000220.0,2019-03-25,ZTY2,IN01,DI,CD,1000154
10000221.0,2019-03-25,ZTY1,IN01,DT,CD,1000187
10000222.0,2019-03-25,ZTY2,IN01,DI,CD,1000115
10000223.0,2019-03-25,ZTY3,IN01,DI,CD,1000122
10000224.0,2019-03-25,ZOR,IN01,DI,CD,1003857
10000225.0,2019-03-25,ZOR,IN01,DI,CD,1003857
10000226.0,2019-03-25,ZTY1,IN01,DT,CD,1000203
10000227.0,2019-03-25,ZTY2,IN01,DI,CD,1000134
10000228.0,2019-03-25,ZTY1,IN01,DT,CD,1000161
10000229.0,2019-03-25,ZTY1,IN01,DT,CD,1000023
10000230.0,2019-03-25,ZTY2,IN01,DI,CD,1000134
10000231.0,2019-03-25,ZTY2,IN01,DI,CD,1003795
10000232.0,2019-03-25,ZTY1,IN01,DT,CD,1000022
10000234.0,2019-03-25,ZTY1,IN01,DT,CD,1000052
10000235.0,2019-03-25,ZTY2,IN01,DI,CD,1003719
10000236.0,2019-03-25,ZTY2,IN01,DI,CD,1000150
10000238.0,2019-03-25,ZTY2,IN01,DI,CD,1000163
10000239.0,2019-03-25,ZTY3,IN01,DT,CD,1000023
10000241.0,2019-03-25,ZTY3,IN01,DI,CD,1000011
10000242.0,2019-03-26,ZTY2,IN01,DI,CD,1000009
10000243.0,2019-03-26,ZSO3,IN02,SD,CD,1000004
10000244.0,2019-03-26,ZTY1,IN01,DT,CD,1000022
10000245.0,2019-03-26,ZSO5,IN02,SD,CD,1000004
10000246.0,2019-03-26,ZTY2,IN01,DI,CD,1000035
10000247.0,2019-03-26,ZSO3,IN02,SD,CD,1000004
10000248.0,2019-03-26,ZSO5,IN02,SD,CD,1000004
10000249.0,2019-03-26,ZTY2,IN01,DI,CD,1000056
10000250.0,2019-03-26,ZSO3,IN03,SD,CD,1000316
10000251.0,2019-03-26,ZTY2,IN01,DI,CD,1000148
10000253.0,2019-03-26,ZTY2,IN01,DI,CD,1000179
10000254.0,2019-03-26,ZSO5,IN03,SD,CD,1000316
10000256.0,2019-03-26,ZTY2,IN01,DI,CD,1003862
10000257.0,2019-03-26,ZSO3,IN03,SD,CD,1000317
10000258.0,2019-03-26,ZSO2,IN02,SD,CD,1000216
10000259.0,2019-03-26,ZTY2,IN01,DI,CD,1000194
10000260.0,2019-03-26,ZSO5,IN03,SD,CD,1000317
10000261.0,2019-03-26,ZSO2,IN02,SD,CD,1000216
10000262.0,2019-03-26,ZTY1,IN01,DT,CD,1000016
10000263.0,2019-03-26,ZSO2,IN02,SD,CD,1000216
10000264.0,2019-03-26,ZSO2,IN02,SD,CD,1000216
10000265.0,2019-03-26,ZOR,IN01,DI,CD,1000002
10000266.0,2019-03-26,ZTY2,IN01,DI,CD,1000031
10000267.0,2019-03-26,ZSS1,IN01,DI,CD,PL1002
10000268.0,2019-03-26,ZTY2,IN01,DI,CD,1000148
10000269.0,2019-03-26,ZTY2,IN01,DI,CD,1000178
10000272.0,2019-03-27,ZTY1,IN01,DT,CD,1000052
10000273.0,2019-03-27,ZTY2,IN01,DI,CD,1000052
10000275.0,2019-03-27,ZTY2,IN01,DI,CD,1003886
10000276.0,2019-03-27,ZTY1,IN01,DI,CD,1003885
10000277.0,2019-03-27,ZSO4,IN02,SD,CD,1000220
10000278.0,2019-03-27,ZTY2,IN01,DI,CD,1003871
10000279.0,2019-03-27,ZSO5,IN02,SD,CD,1000220
10000282.0,2019-03-27,ZSO2,IN03,SD,CD,1000273
10000283.0,2019-03-27,ZSO3,IN03,SD,CD,1000273
10000284.0,2019-03-27,ZRP1,IN01,DI,CD,1003855
10000285.0,2019-03-27,ZRP1,IN01,DI,CD,1003856
10000286.0,2019-03-27,ZSO5,IN03,SD,CD,1000273
10000287.0,2019-03-27,ZTY1,IN01,DT,CD,1000022
10000288.0,2019-03-27,ZTY2,IN01,DI,CD,1003860
10000289.0,2019-03-27,ZTY2,IN01,DI,CD,1003860
10000291.0,2019-03-27,ZTY1,IN01,DT,CD,1000187
