Sales document,Sales Document Item,Material,Material Group,Product hierarchy,Net Value,Order Quantity,Sales unit,Net Price
1,10,200100013425.0,B0003,,5000.0,5.0,EA,1000.0
2,10,200100013425.0,B0003,,5000.0,5.0,EA,1000.0
10000000,10,202038003300.0,B0003,,2014781.9,356.0,EA,5659.5
10000001,10,202038003300.0,B0003,,11771760.0,2080.0,EA,5659.5
10000002,10,202038003300.0,B0003,,3310807.62,585.0,EA,5659.5
10000003,10,200199999999.0,B0003,,0.0,2.0,EA,0.0
10000007,20,202038003300.0,B0003,,1859814.3,303.0,EA,18.6
10000008,20,200100013450.0,B0003,,1171964.74,158.0,EA,7417.5
10000009,20,202038003300.0,B0003,,953040.0,152.0,EA,19.0
10000010,20,202038003250.0,B0003,,1831830.5,308.0,EA,18.3
10000011,30,202038003300.0,B0003,,1880340.0,308.0,EA,18.5
10000012,30,202038003250.0,B0003,,1051050.5,168.0,EA,19.25
10000013,20,202038003300.0,B0003,,2661120.0,448.0,EA,18.0
10000017,10,202038003300.0,B0003,,11285042.85,1994.0,EA,17.15
10000018,50,200300053300.0,B0003,,71500044.24,12488.0,EA,17.35
10000018,60,200300053250.0,B0003,,17367350.06,3080.0,EA,17.35
10000022,10,202038003250.0,B0003,,3439800.0,588.0,EA,18.0
10000022,20,202038003300.0,B0003,,13436280.0,2262.0,EA,18.0
10000025,20,200300073200.0,B0003,,22860800.0,3760.0,EA,19.0
10000027,10,202038003300.0,B0003,,360360.0,56.0,EA,19.5
10000027,20,202038003300.0,B0003,,180180.0,28.0,EA,19.5
10000030,10,202038003250.0,B0003,,3439800.0,588.0,EA,18.0
10000030,20,202038003300.0,B0003,,13436280.0,2262.0,EA,18.0
10000031,20,202038003300.0,B0003,,29975550.5,4910.0,EA,18.5
10000032,10,202038003300.0,B0003,,5567760.0,912.0,EA,18.5
10000033,10,202038003300.0,B0003,,2684880.0,452.0,EA,18.0
10000035,10,200300073200.0,B0003,,10064000.0,1850.0,EA,17.0
10000036,10,202038003250.0,B0003,,1851850.5,308.0,EA,18.5
10000037,10,202038003300.0,B0003,,1098900.0,180.0,EA,18.5
10000038,10,202038003350.0,B0003,,2255890.5,364.0,EA,18.5
10000039,20,202038003250.0,B0003,,5495490.5,924.0,EA,18.3
10000040,20,202038003350.0,B0003,,1388240.0,224.0,EA,18.5
10000041,10,202038003300.0,B0003,,927960.0,152.0,EA,18.5
10000042,10,202038003300.0,B0003,,2945250.5,476.0,EA,18.75
10000043,10,202038003300.0,B0003,,472758.1,76.0,EA,18.85
10000044,10,202038003300.0,B0003,,282150.5,45.0,EA,19.0
10000045,1000,110000003345.0,O0001,,499999.93,20.0,EA,25000.0
10000045,2000,110000000351.0,C0013,,719999.9,3.0,EA,239999.97
10000045,3000,110000000232.0,C0009,,15000.0,500.0,EA,30.0
10000045,4000,110000000233.0,C0009,,15000.0,500.0,EA,30.0
10000045,5000,110000000054.0,C0013,,9600.0,60.0,PAC,160.0
10000045,6000,110000002519.0,O0001,,285599.96,3400.0,M,84.0
10000045,7000,110000004205.0,C0013,,8820.0,180.0,EA,49.0
10000045,8000,110000001219.0,O0001,,2420.0,220.0,EA,11.0
10000045,9000,110000001219.0,O0001,,37699.99,2900.0,EA,13.0
10000045,10000,110000000061.0,O0001,,11640.0,970.0,EA,12.0
10000045,11000,110000004358.0,E0003,,1251599.82,1043.0,M,1200.0
10000045,12000,110000002088.0,C0013,,35000.0,7.0,EA,5000.0
10000046,20,200200170400.0,B0003,,432000.0,450.0,EA,960.0
10000047,10,202038003250.0,B0003,,197600.0,32.0,EA,19.0
10000048,10,202038003300.0,B0003,,374417.82,61.0,EA,18.6
10000048,20,200100013450.0,B0003,,65981.22,9.0,EA,21.25
10000049,10,202038003350.0,B0003,,1395743.8,224.0,EA,18.6
10000050,10,202038003300.0,B0003,,206910.0,33.0,EA,19.0
10000051,10,200200180500.0,B0003,,61443.49,50.0,EA,2457.74
10000051,20,202030901500.0,B0003,,606824.89,200.0,EA,2022.75
10000051,30,200200211000.0,B0003,,126585.61,60.0,EA,2109.76
10000051,40,200200200750.0,B0003,,484481.51,300.0,EA,2153.25
10000051,50,200200190600.0,B0003,,129194.98,100.0,EA,2153.25
10000052,10,202038003250.0,B0003,,54522422.87,9782.0,EA,17.15
10000053,10,202038003300.0,B0003,,46521090.5,8220.0,EA,17.15
10000054,10,202038003300.0,B0003,,6395235.25,1130.0,EA,17.15
10000055,10,202038003300.0,B0003,,11285042.85,1994.0,EA,17.15
10000056,20,202038003350.0,B0003,,1735300.0,280.0,EA,18.5
10000057,10,202038003250.0,B0003,,1010100.0,168.0,EA,18.5
10000057,20,202038003300.0,B0003,,2393160.0,392.0,EA,18.5
10000058,20,202038003250.0,B0003,,505050.16,84.0,EA,18.5
10000058,30,202038003300.0,B0003,,683760.23,112.0,EA,18.5
10000058,40,202038003350.0,B0003,,347060.11,56.0,EA,18.5
10000059,20,202038003350.0,B0003,,1735300.0,280.0,EA,18.5
10000060,10,202038003300.0,B0003,,2503050.5,410.0,EA,18.5
10000061,10,200100013450.0,B0003,,615824.81,84.0,EA,21.25
10000061,20,202038003300.0,B0003,,175559.94,28.0,EA,19.0
10000062,10,202038003300.0,B0003,,1855920.0,304.0,EA,18.5
10000063,10,202038003300.0,B0003,,953040.0,152.0,EA,19.0
10000064,10,202038003250.0,B0003,,1154400.0,192.0,EA,18.5
10000065,10,200200232400.0,B0003,,5760.0,2.0,EA,12.0
10000065,20,200300082600.0,B0003,,24960.0,8.0,EA,12.0
10000065,30,200300082650.0,B0003,,391140.0,123.0,EA,12.0
10000065,40,200300312400.0,B0003,,11520.0,4.0,EA,12.0
10000065,50,200300312500.0,B0003,,9000.0,3.0,EA,12.0
10000065,60,200300312600.0,B0003,,9360.0,3.0,EA,12.0
10000065,70,202031402450.0,B0003,,8820.0,3.0,EA,12.0
10000065,80,202031402500.0,B0003,,12000.0,4.0,EA,12.0
10000065,90,202031402550.0,B0003,,24480.0,8.0,EA,12.0
10000065,100,202031402600.0,B0003,,9360.0,3.0,EA,12.0
10000065,110,202032802500.0,B0003,,3000.0,1.0,EA,12.0
10000065,120,202034802400.0,B0003,,5760.0,2.0,EA,12.0
10000065,130,202034802500.0,B0003,,15000.0,5.0,EA,12.0
10000065,140,202038003200.0,B0003,,1075200.0,280.0,EA,12.0
10000065,150,202038202450.0,B0003,,2940.0,1.0,EA,12.0
10000065,160,202038202550.0,B0003,,15300.0,5.0,EA,12.0
10000065,170,202038202650.0,B0003,,130380.0,41.0,EA,12.0
10000065,180,202038302550.0,B0003,,21420.0,7.0,EA,12.0
10000065,190,202038302600.0,B0003,,24960.0,8.0,EA,12.0
10000065,200,202040102600.0,B0003,,146640.0,47.0,EA,12.0
10000065,210,202034802450.0,B0003,,2940.0,1.0,EA,12.0
10000065,220,202031802450.0,B0003,,2940.0,1.0,EA,12.0
10000066,10,202038003300.0,B0003,,2338710.5,373.0,EA,19.0
10000067,1000,290000000012.0,S0016,,2892379.6,1.0,EA,2892379.6
10000069,10,200300053300.0,B0003,,271812387.0,47474.0,EA,17.35
10000069,20,200300053250.0,B0003,,57808465.0,10252.0,EA,17.35
10000070,10,202038003250.0,B0003,,1449012.42,241.0,EA,18.5
10000070,20,202038003300.0,B0003,,927959.95,152.0,EA,18.5
10000071,10,202038003250.0,B0003,,559162.87,93.0,EA,18.5
10000072,10,202038003300.0,B0003,,2023560.0,336.0,EA,18.25
10000073,10,202038003250.0,B0003,,1018290.5,168.0,EA,18.65
10000074,10,202038003250.0,B0003,,505050.25,84.0,EA,18.5
10000074,20,202038003300.0,B0003,,512820.25,84.0,EA,18.5
10000076,10,200300073200.0,B0003,,9515200.0,1565.0,EA,19.0
10000076,20,200300073200.0,B0003,,1732800.0,285.0,EA,19.0
10000078,10,200100013450.0,B0003,,205275.25,28.0,EA,21.25
10000079,10,202038003300.0,B0003,,476520.0,76.0,EA,19.0
10000080,10,202038003300.0,B0003,,902880.0,152.0,EA,18.0
10000081,20,202038003300.0,B0003,,2393160.28,392.0,EA,18.5
10000081,30,202038003350.0,B0003,,1908830.22,308.0,EA,18.5
10000082,10,200100083000.0,B0003,,36000.0,10.0,EA,12.0
10000082,20,200100043000.0,B0003,,7200.0,2.0,EA,12.0
10000082,30,200100043000.0,B0003,,14400.0,4.0,EA,12.0
10000082,40,202040003100.0,B0003,,3720.0,1.0,EA,12.0
10000082,50,202034903100.0,B0003,,3720.0,1.0,EA,12.0
