Billing Document,Billing Type,Document Currency,Billing Date
13000167,ZUF1,USD,2023-04-24
13000168,ZUF1,USD,2023-04-24
90000000,ZSTI,INR,2019-03-07
90000001,S1,INR,2019-03-07
90000002,ZSTI,INR,2019-03-07
90000003,ZF2,INR,2019-03-07
90000004,ZF2,INR,2019-03-08
90000005,ZSTI,INR,2019-03-07
90000006,ZSTI,INR,2019-03-07
90000007,ZSTI,INR,2019-03-07
90000008,ZSTI,INR,2019-03-07
90000009,ZSTI,INR,2019-03-07
90000010,ZSTI,INR,2019-03-07
90000011,ZSTI,INR,2019-03-07
90000012,ZSTI,INR,2019-03-07
90000013,ZSTI,INR,2019-03-07
90000014,ZSTI,INR,2019-03-07
90000015,ZSTI,INR,2019-03-07
90000016,ZSTI,INR,2019-03-07
90000017,ZSTI,INR,2019-03-07
90000018,ZSTI,INR,2019-03-07
90000019,ZSTI,INR,2019-03-07
90000020,ZSTI,INR,2019-03-07
90000021,ZSTI,INR,2019-03-07
90000022,ZSTI,INR,2019-03-07
90000023,ZSTI,INR,2019-03-07
90000024,ZSTI,INR,2019-03-07
90000025,ZSTI,INR,2019-03-07
90000026,ZSTI,INR,2019-03-07
90000027,ZSTI,INR,2019-03-07
90000028,ZSTI,INR,2019-03-07
90000029,ZSTI,INR,2019-03-07
90000030,ZSTI,INR,2019-03-07
90000031,ZSTI,INR,2019-03-07
90000032,ZSTI,INR,2019-03-07
90000033,ZSTI,INR,2019-03-07
90000034,ZF2,INR,2019-03-07
90000035,ZF2,INR,2019-03-07
90000036,ZF2,INR,2019-03-07
90000037,ZF2,INR,2019-03-08
90000038,ZF2,INR,2019-03-08
90000039,ZF2,INR,2019-03-08
90000040,ZF2,INR,2019-03-07
90000041,ZF2,INR,2019-03-07
90000042,S1,INR,2019-03-07
90000043,ZSTI,INR,2019-03-07
90000044,ZSTI,INR,2019-03-07
90000045,ZSTI,INR,2019-03-07
90000046,ZF2,INR,2019-03-07
90000047,ZF2,INR,2019-03-07
90000048,ZSTI,INR,2019-03-07
90000049,ZSTI,INR,2019-03-07
90000050,ZSTI,INR,2019-03-07
90000051,ZSTI,INR,2019-03-07
90000052,S1,INR,2019-03-07
90000053,ZSTI,INR,2019-03-07
90000054,ZSTI,INR,2019-03-07
90000055,ZSTI,INR,2019-03-07
90000056,ZSTI,INR,2019-03-08
90000057,ZSTI,INR,2019-03-08
90000058,ZSTI,INR,2019-03-08
90000059,ZSTI,INR,2019-03-08
90000060,ZSTI,INR,2019-03-08
90000061,ZSTI,INR,2019-03-08
90000062,ZSTI,INR,2019-03-08
90000063,ZSTI,INR,2019-03-08
90000064,ZSTI,INR,2019-03-08
90000065,ZSTI,INR,2019-03-08
90000066,ZSTI,INR,2019-03-08
90000067,ZSTI,INR,2019-03-08
90000068,ZSTI,INR,2019-03-08
90000069,ZSTI,INR,2019-03-08
90000070,ZSTI,INR,2019-03-08
90000071,ZSTI,INR,2019-03-08
90000072,ZSTI,INR,2019-03-08
90000073,ZSTI,INR,2019-03-08
90000074,ZSTI,INR,2019-03-08
90000075,ZSTI,INR,2019-03-08
90000076,ZSTI,INR,2019-03-08
90000077,ZSTI,INR,2019-03-08
90000078,ZSTI,INR,2019-03-08
90000079,ZSTI,INR,2019-03-08
90000080,ZSTI,INR,2019-03-08
90000081,ZSTI,INR,2019-03-08
90000082,ZSTI,INR,2019-03-08
90000083,ZSTI,INR,2019-03-08
90000084,ZSTI,INR,2019-03-08
90000085,ZSTI,INR,2019-03-08
90000086,ZSTI,INR,2019-03-08
90000087,ZSTI,INR,2019-03-08
90000088,ZSTI,INR,2019-03-08
90000089,ZSTI,INR,2019-03-08
90000090,ZSTI,INR,2019-03-08
90000091,S1,INR,2019-03-08
90000092,S1,INR,2019-03-08
90000093,ZSTI,INR,2019-03-08
90000094,ZSTI,INR,2019-03-08
90000095,ZSTI,INR,2019-03-08
90000096,ZSTI,INR,2019-03-08
90000097,ZSTI,INR,2019-03-08
90000098,ZSTI,INR,2019-03-08
90000099,ZSTI,INR,2019-03-08
90000100,ZSTI,INR,2019-03-08
90000101,ZSTI,INR,2019-03-08
90000102,S1,INR,2019-03-08
90000103,ZSTI,INR,2019-03-09
90000104,ZSTI,INR,2019-03-09
90000105,ZSTI,INR,2019-03-09
90000106,ZSTI,INR,2019-03-09
90000107,ZSTI,INR,2019-03-10
90000108,ZF2,INR,2019-03-07
90000109,F2,INR,2019-03-13
90000110,S1,INR,2019-03-07
90000111,ZF2,INR,2019-03-07
90000112,ZF2,INR,2019-03-07
90000113,ZF2,INR,2019-03-07
90000114,ZF2,INR,2019-03-07
90000115,ZF2,INR,2019-03-07
90000116,ZF2,INR,2019-03-07
90000117,ZF2,INR,2019-03-07
90000118,ZF2,INR,2019-03-07
90000119,ZF2,INR,2019-03-07
90000120,ZF2,INR,2019-03-07
90000121,S1,INR,2019-03-13
90000122,ZF2,INR,2019-03-13
90000123,ZF2,INR,2019-03-13
90000124,ZSTI,INR,2019-03-10
90000125,ZSTI,INR,2019-03-10
90000126,ZSTI,INR,2019-03-08
90000127,ZSTI,INR,2019-03-08
90000128,ZF2,INR,2019-03-07
90000129,ZF2,INR,2019-03-07
90000130,ZF2,INR,2019-03-07
90000131,ZF2,INR,2019-03-07
90000132,ZF2,INR,2019-03-07
90000133,ZF2,INR,2019-03-07
90000134,ZF2,INR,2019-03-07
90000135,S1,INR,2019-03-13
90000136,S1,INR,2019-03-13
90000137,ZF2,INR,2019-03-13
90000138,ZF2,INR,2019-03-13
90000139,ZF2,INR,2019-03-07
90000140,ZF2,INR,2019-03-07
90000141,ZF2,INR,2019-03-08
90000142,ZF2,INR,2019-03-08
90000143,ZF2,INR,2019-03-08
90000144,ZF2,INR,2019-03-08
90000145,ZF2,INR,2019-03-08
90000146,S1,INR,2019-03-08
90000147,ZF2,INR,2019-03-08
90000148,ZF2,INR,2019-03-08
90000149,ZSTI,INR,2019-03-07
90000150,ZF2,INR,2019-03-08
90000151,ZF2,INR,2019-03-08
90000152,ZF2,INR,2019-03-08
90000153,ZF2,INR,2019-03-08
