Billing Document,Item,Billed Quantity,Net Value,Sales document,Sales Document Item,Material
13000167,10,1.0,1000.0,10001177.0,10,110000000014
13000168,10,1.0,1000.0,10001177.0,10,110000000014
90000000,1,448.0,2372832.0,5500000009.0,10,202038003300
90000001,1,448.0,2372832.0,5500000009.0,10,202038003300
90000002,1,448.0,2372832.0,5500000009.0,10,202038003300
90000003,20,158.0,1171964.74,10000008.0,20,200100013450
90000004,20,152.0,953040.0,10000009.0,20,202038003300
90000005,1,28.0,148302.0,5500000003.0,20,202038003300
90000005,2,364.0,1927926.0,5500000003.0,30,202038003300
90000005,3,112.0,593208.0,5500000003.0,40,202038003300
90000006,1,252.0,1334718.0,5500000003.0,30,202038003300
90000006,2,252.0,1334718.0,5500000003.0,40,202038003300
90000007,1,364.0,1927926.0,5500000003.0,30,202038003300
90000007,2,140.0,741510.0,5500000003.0,40,202038003300
90000008,1,224.0,1186416.0,5500000003.0,30,202038003300
90000008,2,280.0,1483020.0,5500000003.0,40,202038003300
90000009,1,252.0,1334718.0,5500000003.0,30,202038003300
90000009,2,252.0,1334718.0,5500000003.0,40,202038003300
90000010,1,308.0,1631322.0,5500000003.0,30,202038003300
90000010,2,196.0,1038114.0,5500000003.0,40,202038003300
90000011,1,336.0,1779624.0,5500000003.0,30,202038003300
90000011,2,140.0,741510.0,5500000003.0,40,202038003300
90000012,1,252.0,1334718.0,5500000003.0,30,202038003300
90000012,2,224.0,1186416.0,5500000003.0,40,202038003300
90000013,1,196.0,1038114.0,5500000003.0,30,202038003300
90000013,2,308.0,1631322.0,5500000003.0,40,202038003300
90000014,1,10.0,52965.0,5500000003.0,10,202038003300
90000015,1,308.0,1631322.0,5500000003.0,30,202038003300
90000015,2,112.0,593208.0,5500000003.0,40,202038003300
90000016,1,504.0,2669436.0,5500000004.0,50,200300053300
90000017,1,504.0,2669436.0,5500000004.0,50,200300053300
90000018,1,504.0,2669436.0,5500000004.0,50,200300053300
90000019,1,504.0,2669436.0,5500000004.0,50,200300053300
90000020,1,504.0,2669436.0,5500000004.0,80,200300053300
90000021,1,504.0,2669436.0,5500000004.0,80,200300053300
90000022,1,504.0,2669436.0,5500000004.0,80,200300053300
90000023,1,504.0,2669436.0,5500000004.0,80,200300053300
90000024,1,84.0,444906.0,5500000004.0,30,200300053300
90000024,2,420.0,2224530.0,5500000004.0,40,200300053300
90000025,1,504.0,2669436.0,5500000004.0,50,200300053300
90000026,1,196.0,1038114.0,5500000004.0,70,200300053300
90000026,2,308.0,1631322.0,5500000004.0,80,200300053300
90000027,1,504.0,2628990.0,5500000004.0,20,200300053250
90000028,1,504.0,2628990.0,5500000004.0,20,200300053250
90000029,1,504.0,2628990.0,5500000004.0,20,200300053250
90000030,1,504.0,2628990.0,5500000004.0,20,200300053250
90000031,1,504.0,2628990.0,5500000004.0,20,200300053250
90000032,1,224.0,1168440.0,5500000004.0,10,200300053250
90000032,2,280.0,1460550.0,5500000004.0,20,200300053250
90000033,1,28.0,148302.0,5500000004.0,60,200300053300
90000033,2,224.0,1186416.0,5500000004.0,70,200300053300
90000033,3,252.0,1334718.0,5500000004.0,80,200300053300
90000034,30,168.0,1051050.5,10000012.0,30,202038003250
90000035,10,56.0,360360.0,10000027.0,10,202038003300
90000035,20,28.0,180180.0,10000027.0,20,202038003300
90000036,20,28.0,166530.05,10000010.0,20,202038003250
90000036,21,280.0,1665300.45,10000010.0,20,202038003250
90000037,20,28.0,171864.01,10000007.0,20,202038003300
90000037,21,173.0,1061874.09,10000007.0,20,202038003300
90000038,20,56.0,343727.6,10000007.0,20,202038003300
90000039,20,46.0,282347.6,10000007.0,20,202038003300
90000040,30,28.0,170940.0,10000011.0,30,202038003300
90000040,31,280.0,1709400.0,10000011.0,30,202038003300
90000041,20,448.0,2661120.0,10000030.0,20,202038003300
90000042,1,252.0,1334718.0,5500000003.0,30,202038003300
90000042,2,252.0,1334718.0,5500000003.0,40,202038003300
90000043,1,476.0,2521134.0,5500000006.0,10,202038003300
90000044,1,476.0,2521134.0,5500000006.0,10,202038003300
90000045,1,470.0,2489355.0,5500000006.0,10,202038003300
90000046,20,224.0,1330560.0,10000013.0,20,202038003300
90000047,20,168.0,997920.0,10000013.0,20,202038003300
90000047,21,56.0,332640.0,10000013.0,20,202038003300
90000048,1,476.0,2521134.0,5500000007.0,20,202038003300
90000049,1,4.0,21186.0,5500000007.0,10,202038003300
90000049,2,429.0,2272198.5,5500000007.0,20,202038003300
90000050,1,3.0,15889.5,5500000007.0,30,202038003300
90000051,1,168.0,889812.0,5500000008.0,10,202038003300
90000051,2,56.0,296604.0,5500000008.0,30,202038003300
90000052,1,168.0,889812.0,5500000008.0,10,202038003300
90000052,2,56.0,296604.0,5500000008.0,30,202038003300
90000053,1,168.0,889812.0,5500000008.0,10,202038003300
90000054,1,56.0,296604.0,5500000008.0,30,202038003300
90000055,1,127.0,672655.5,5500000008.0,20,202038003300
90000055,2,100.0,529650.0,5500000008.0,30,202038003300
90000055,3,1.0,5296.5,5500000008.0,40,202038003300
90000056,1,532.0,2817738.0,5500000017.0,40,202038003300
90000057,1,280.0,1460550.0,5500000017.0,20,202038003250
90000058,1,504.0,2628990.0,5500000014.0,20,202038003250
90000059,1,504.0,2628990.0,5500000014.0,20,202038003250
90000060,1,504.0,2669436.0,5500000014.0,10,202038003300
90000061,1,504.0,2669436.0,5500000014.0,10,202038003300
90000062,1,150.0,770400.0,5500000015.0,10,200300073200
90000062,2,300.0,1540800.0,5500000015.0,20,200300073200
90000063,1,100.0,513600.0,5500000015.0,10,200300073200
90000063,2,350.0,1797600.0,5500000015.0,20,200300073200
90000064,1,125.0,642000.0,5500000015.0,10,200300073200
90000064,2,350.0,1797600.0,5500000015.0,20,200300073200
90000065,1,250.0,1284000.0,5500000015.0,10,200300073200
90000065,2,225.0,1155600.0,5500000015.0,20,200300073200
90000066,1,336.0,1779624.0,5500000000.0,30,202038003300
90000067,1,336.0,1779624.0,5500000000.0,30,202038003300
90000068,1,336.0,1779624.0,5500000000.0,30,202038003300
90000069,1,336.0,1779624.0,5500000000.0,30,202038003300
90000070,1,336.0,1779624.0,5500000000.0,30,202038003300
