Sales document,Sales Document Item,Material,Material Group,Product hierarchy,Net Value,Order Quantity,Sales unit,Net Price,Created on,Sold-to Party,Billed Quantity,Net Value_billing,Moving price,MovAvgPrice PP,MovAvgPrice PY,Total Stock,Total Value,Year,Month,Quarter,Material_Avg_Price,Price_Ratio,Profit_Margin,Order_Count,Total_Revenue,Total_Qty,Customer_Segment,Volume_Segment,Seasonal_Flag
1,10,200100013425,B0003,,5000.0,5.0,EA,1000.0,2025-08-14,1000103,,,1.0,1.0,1.0,0.0,0.0,2025,8,3,19979.10925925926,0.05005228146177502,99.9,7,3460500.5,34.0,0,0,0
2,10,200100013425,B0003,,5000.0,5.0,EA,1000.0,2025-08-14,1000103,,,1.0,1.0,1.0,0.0,0.0,2025,8,3,19979.10925925926,0.05005228146177502,99.9,7,3460500.5,34.0,0,0,0
10000000,10,202038003300,B0003,,2014781.9,356.0,EA,5659.5,2019-03-09,1003678,57.0,322591.28,5371.0,5567.0,5567.0,13.0,69822.98,2019,3,1,1641.343596214511,3.44808973151795,5.097623464970404,3,10651179.04,1882.0,0,0,1
10000001,10,202038003300,B0003,,11771760.0,2080.0,EA,5659.5,2019-03-09,1003679,504.0,2852387.6,5371.0,5567.0,5567.0,13.0,69822.98,2019,3,1,1641.343596214511,3.44808973151795,5.097623464970404,2,23543520.0,4160.0,0,0,1
10000002,10,202038003300,B0003,,3310807.62,585.0,EA,5659.5,2019-03-09,1003678,504.0,2852387.6,5371.0,5567.0,5567.0,13.0,69822.98,2019,3,1,1641.343596214511,3.44808973151795,5.097623464970404,3,10651179.04,1882.0,0,0,1
10000007,20,202038003300,B0003,,1859814.3,303.0,EA,18.6,2019-03-11,1000134,28.0,171864.01,5371.0,5567.0,5567.0,13.0,69822.98,2019,3,1,1641.343596214511,0.011332179345566547,-28776.344086021498,13,21923883.880000003,3597.0,0,0,1
10000008,20,200100013450,B0003,,1171964.74,158.0,EA,7417.5,2019-03-11,1003368,158.0,1171964.74,5217.04,5217.04,5217.04,0.0,0.0,2019,3,1,1524.9014473684213,4.864248776732853,29.665790360633636,10,12364079.98,1666.0,0,0,1
10000009,20,202038003300,B0003,,953040.0,152.0,EA,19.0,2019-03-11,1000128,152.0,953040.0,5371.0,5567.0,5567.0,13.0,69822.98,2019,3,1,1641.343596214511,0.011575882127191633,-28168.421052631576,3,1906081.92,456.0,0,0,1
10000010,20,202038003250,B0003,,1831830.5,308.0,EA,18.3,2019-03-11,1003365,28.0,166530.05,1.0,1.0,1.0,0.0,0.0,2019,3,1,2400.614120879121,0.007623049385920641,94.53551912568307,8,34816850.0,5798.0,0,0,1
10000011,30,202038003300,B0003,,1880340.0,308.0,EA,18.5,2019-03-11,1000089,28.0,170940.0,5371.0,5567.0,5567.0,13.0,69822.98,2019,3,1,1641.343596214511,0.011271253650160275,-28932.432432432433,5,15042720.0,2464.0,0,0,1
