Material,Valuation area,Moving price,MovAvgPrice PP,MovAvgPrice PY,Standard price,Price unit,Total Stock,Total Value,Price control,Price_Change_PP,Price_Change_PY
100111110015,1001,69.36,69.36,69.36,0.0,1,83.0,5757.29,V,0.0,0.0
100120100001,1001,29.55,0.01,0.01,0.0,1,240.0,7092.29,V,295400.0,295400.0
100120100026,1001,56.19,0.01,0.01,0.0,1,4611.0,259096.35,V,561800.0,561800.0
100120100026,1001,60.28,60.28,60.28,0.0,1,1900.0,114530.28,V,0.0,0.0
100120100027,1001,1000.0,1000.0,1000.0,0.0,1,200.0,200000.0,V,0.0,0.0
100120100033,1001,45.45,45.45,45.45,45.2,1,0.0,0.0,V,0.0,0.0
100120100033,1001,43.66,41.78,41.78,0.0,1,104.0,4540.5,V,4.49976065102919,4.49976065102919
100120100033,1001,46.5,46.5,46.5,0.0,1,20.0,929.98,V,0.0,0.0
100120100052,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100061,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100070,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100094,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100102,1001,61.41,0.01,0.01,0.0,1,2633.0,161686.68,V,614000.0,614000.0
100120100102,1001,61.66,61.66,61.66,0.0,1,1431.0,88231.47,V,0.0,0.0
100120100103,1001,61.17,61.17,61.17,0.0,1,70.0,4281.96,V,0.0,0.0
100120100105,1001,61.1,61.1,61.1,0.0,1,1000.0,61095.35,V,0.0,0.0
100120100105,1001,61.1,61.1,61.1,0.0,1,1836.0,112172.26,V,0.0,0.0
100120100110,1001,88.57,0.01,0.01,0.0,1,110.0,9742.6,V,885599.9999999998,885599.9999999998
100120100112,1001,61.1,61.1,61.1,0.0,1,522.0,31892.26,V,0.0,0.0
100120100112,1001,61.17,61.17,61.17,0.0,1,347.0,21225.2,V,0.0,0.0
100120100112,1001,61.66,61.66,61.66,0.0,1,165.0,10173.48,V,0.0,0.0
100120100113,1001,61.66,61.66,61.66,0.0,1,2645.0,163083.03,V,0.0,0.0
100120100150,1001,62.87,62.87,62.87,0.0,1,183.0,11505.61,V,0.0,0.0
100120100185,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100191,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100192,1001,70.98,70.98,70.98,0.0,1,349.0,24772.41,V,0.0,0.0
100120100193,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100205,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100224,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100120100238,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100121100015,1001,58.72,56.03,56.03,0.0,1,339.0,19904.4,V,4.800999464572546,4.800999464572546
100121100015,1001,58.88,58.88,58.88,0.0,1,1951.589,114915.82,V,0.0,0.0
100121100015,1001,56.22,55.95,55.95,0.0,1,110.0,6184.07,V,0.4825737265415478,0.4825737265415478
100121100029,1001,55.16,55.16,55.16,0.0,1,60.0,3309.35,V,0.0,0.0
100121100050,1001,77.2,77.2,77.2,0.0,1,63.0,4863.91,V,0.0,0.0
100121100050,1001,75.26,75.26,75.26,0.0,1,538.0,40487.86,V,0.0,0.0
100121100050,1001,75.91,75.91,75.91,0.0,1,30.0,2277.42,V,0.0,0.0
100121100135,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100121110080,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100121110121,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100121110122,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100130100162,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100130100197,1001,0.01,0.01,0.01,0.0,1,0.0,0.0,V,0.0,0.0
100131110024,1001,42.33,42.33,42.33,0.0,1,0.0,0.0,V,0.0,0.0
100131110024,1001,42.33,42.33,42.33,0.0,1,748.0,31662.71,V,0.0,0.0
100131110030,1001,41.63,43.39,43.39,0.0,1,3576.0,148858.91,V,-4.056234155335326,-4.056234155335326
100131110030,1001,35.45,35.45,35.45,0.0,1,33600.0,1191077.01,V,0.0,0.0
100131110030,1001,47.9,30.72,30.72,0.0,1,938.0,44927.33,V,55.924479166666664,55.924479166666664
100131110031,1001,56.77,56.77,56.77,0.0,1,1041.0,59097.02,V,0.0,0.0
100131110031,1001,44.63,46.2,46.2,0.0,1,397.0,17717.01,V,-3.398268398268399,-3.398268398268399
100131110031,1001,40.11,40.11,40.11,0.0,1,0.0,0.0,V,0.0,0.0
100131110031,1001,38.52,38.52,38.52,0.0,1,357.0,13751.53,V,0.0,0.0
100131110031,1001,43.88,44.78,44.78,0.0,1,171.0,7503.15,V,-2.0098258150960215,-2.0098258150960215
100131110031,1001,52.86,52.86,52.86,0.0,1,20.0,1057.28,V,0.0,0.0
100131110031,1001,1200.0,1200.0,1200.0,0.0,1,20.0,24000.0,V,0.0,0.0
100131110032,1001,35.83,35.98,35.98,0.0,1,646.0,23149.05,V,-0.4168982768204519,-0.4168982768204519
100131110039,1001,36.6,36.6,36.6,36.92,1,0.0,0.0,V,0.0,0.0
100131110039,1001,36.82,37.03,37.03,36.92,1,504.0,18559.29,V,-0.5671077504725921,-0.5671077504725921
100131110039,1001,37.03,37.03,37.03,36.92,1,32.0,1184.94,V,0.0,0.0
100131110039,1001,35.09,35.09,35.09,40.44,1,102807.0,3607836.06,V,0.0,0.0
100131110039,1001,19.62,1.0,1.0,40.44,1,544444.0,10679606.91,V,1862.0,1862.0
100131110039,1001,34.98,34.98,34.98,0.0,1,10.0,349.8,V,0.0,0.0
100131110039,1001,48.84,48.84,48.84,0.0,1,1719.0,83949.26,V,0.0,0.0
100131110039,1001,52.2,52.2,52.2,0.0,1,953.0,49745.13,V,0.0,0.0
100131110039,1001,36.6,40.35,40.35,0.0,1,19.0,695.43,V,-9.293680297397769,-9.293680297397769
100131110039,1001,35.02,35.02,35.02,36.92,1,25.0,875.51,V,0.0,0.0
100131110039,1001,42.36,42.36,42.36,0.0,1,2128.0,90150.57,V,0.0,0.0
100131110039,1001,43.98,35.86,35.86,0.0,1,2014.0,88571.08,V,22.643614054656993,22.643614054656993
100131110039,1001,33.74,33.64,33.64,0.0,1,671.0,22636.42,V,0.2972651605231909,0.2972651605231909
100131110039,1001,34.8,35.23,35.23,0.0,1,1837.0,63922.39,V,-1.2205506670451312,-1.2205506670451312
100131110039,1001,54.79,54.79,54.79,0.0,1,37.0,2027.17,V,0.0,0.0
100131110039,1001,34.96,34.96,34.96,0.0,1,118.0,4125.29,V,0.0,0.0
100131110039,1001,36.67,36.6,36.6,36.92,1,33.0,1210.04,V,0.19125683060109366,0.19125683060109366
100131110039,1001,41.24,41.24,41.24,40.44,1,1.0,41.24,V,0.0,0.0
100131110039,1015,41.24,41.24,41.24,41.24,1,307.0,12660.68,V,0.0,0.0
100131110039,1016,41.24,41.24,41.24,41.24,1,200.0,8248.0,V,0.0,0.0
100131110241,1001,35.59,40.0,40.0,0.0,1,4367.0,155440.27,V,-11.024999999999991,-11.024999999999991
100131110241,1001,34.26,34.29,34.29,0.0,1,0.0,0.0,V,-0.08748906386701995,-0.08748906386701995
100131110242,1001,41.98,40.0,40.0,0.0,1,257405.0,10806027.08,V,4.949999999999992,4.949999999999992
100131110243,1001,42.66,42.25,42.25,0.0,1,2678.0,114254.23,V,0.9704142011834239,0.9704142011834239
100131110243,1001,42.65,42.25,42.25,0.0,1,2636.0,112419.84,V,0.9467455621301742,0.9467455621301742
100131110243,1001,42.52,42.52,42.52,0.0,1,31.0,1318.24,V,0.0,0.0
100131110243,1001,43.68,45.29,45.29,0.0,1,0.0,0.0,V,-3.5548686244204006,-3.5548686244204006
100131110243,1001,45.59,45.59,45.59,0.0,1,800.0,36473.15,V,0.0,0.0
100131210030,1001,42.94,0.01,0.01,0.0,1,23110.0,992260.9,V,429300.0,429300.0
100131210030,1001,37.18,37.18,37.18,0.0,1,743.0,27622.14,V,0.0,0.0
100131210030,1001,44.53,44.53,44.53,0.0,1,1736.0,77308.11,V,0.0,0.0
100131210030,1001,35.43,35.43,35.43,0.0,1,106.0,3755.46,V,0.0,0.0
100131210031,1001,36.38,36.58,36.58,0.0,1,1761.0,64070.77,V,-0.5467468562055652,-0.5467468562055652
100131210031,1001,36.38,36.56,36.56,0.0,1,178.0,6475.49,V,-0.4923413566739598,-0.4923413566739598
100131210031,1001,33.97,32.65,32.65,0.0,1,919.0,31214.38,V,4.042879019908117,4.042879019908117
100131210031,1001,36.07,35.69,35.69,0.0,1,1798.0,64851.19,V,1.0647240123283905,1.0647240123283905
100131210031,1001,53.75,53.75,53.75,0.0,1,163.0,8762.01,V,0.0,0.0
100131210032,1001,41.28,41.28,41.28,0.0,1,184.0,7595.14,V,0.0,0.0
100131210225,1001,9.16,1.0,1.0,0.0,1,7267.0,66570.01,V,816.0,816.0
100200030003,1001,849.41,849.4,849.4,733.3,1,800.0,679528.26,V,0.0011773016246751714,0.0011773016246751714
100200030003,1015,5067.86,743.98,743.98,733.3,1,37239.065,188722308.95,V,581.1822898465011,581.1822898465011
100200030003,1015,5067.86,5067.86,5067.86,733.3,1,0.0,0.0,V,0.0,0.0
100200030003,1015,13682.18,742.02,742.02,733.3,1,190.94,2612476.02,V,1743.9098676585538,1743.9098676585538
100200030005,1001,946.29,1.0,1.0,0.0,1,515.64,487943.62,V,94529.0,94529.0
100200030009,1001,376.35,376.35,376.35,0.0,1,33.1,12457.14,V,0.0,0.0
100200030019,1001,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100200030030,1000,1218.72,1.0,1.0,0.0,1,1.03,1255.28,V,121772.0,121772.0
100300010001,1001,201.72,1.0,1.0,0.0,1,760.0,153309.02,V,20072.0,20072.0
100300010002,1000,504.03,504.03,504.03,0.0,1,1.0,504.03,V,0.0,0.0
100300010002,1000,504.03,504.03,504.03,0.0,1,22.0,11088.55,V,0.0,0.0
100300010002,1000,504.03,504.03,504.03,0.0,1,101.0,50906.55,V,0.0,0.0
100300010003,1000,601.15,601.15,601.15,0.0,1,15.0,9017.25,V,0.0,0.0
100300010003,1001,594.89,1.0,1.0,594.89,1,49.0,29149.69,V,59389.0,59389.0
100300010004,1000,463.69,463.69,463.69,0.0,1,50.0,23184.58,V,0.0,0.0
100300010007,1000,269.77,1.0,1.0,0.0,1,241.0,65014.94,V,26877.0,26877.0
100300010007,1000,269.77,269.77,269.77,0.0,1,3.0,809.31,V,0.0,0.0
100300010008,1001,304.13,304.13,304.13,0.0,1,1335.0,406013.5,V,0.0,0.0
100300010009,1000,430.9,430.9,430.9,0.0,1,253.0,109018.96,V,0.0,0.0
100300010009,1001,481.62,481.62,481.62,0.0,1,22.0,10595.66,V,0.0,0.0
100300010010,1000,647.32,647.32,647.32,0.0,1,53.0,34308.15,V,0.0,0.0
100300010010,1001,731.16,731.16,731.16,0.0,1,0.0,0.0,V,0.0,0.0
100300010011,1001,504.21,1.0,1.0,447.7,1,202679.0,102192317.08,V,50321.0,50321.0
100300010011,1001,457.3,457.3,457.3,447.7,1,0.0,0.0,V,0.0,0.0
100300010011,1001,454.38,455.58,455.58,447.7,1,0.0,0.0,V,-0.2634005004609484,-0.2634005004609484
100300010011,1001,450.31,450.29,450.29,447.7,1,845.0,380513.17,V,0.004441582091536968,0.004441582091536968
100300010011,1001,450.66,450.29,450.29,447.7,1,0.0,0.0,V,0.08216926869350963,0.08216926869350963
100300010011,1001,839185.0,839185.0,839185.0,447.7,1,0.0,0.0,V,0.0,0.0
100300010011,1001,440.7,440.7,440.7,0.0,1,0.0,0.0,V,0.0,0.0
100300010011,1001,465.0,465.0,465.0,447.7,1,9987.0,4643955.0,V,0.0,0.0
100300010011,1001,448.21,448.08,448.08,0.0,1,330.0,147910.75,V,0.02901267630780116,0.02901267630780116
100300010011,1026,380.86,380.86,380.86,447.7,1,0.0,0.0,V,0.0,0.0
100300010013,1001,509.65,1.0,1.0,0.0,1,2.0,1019.3,V,50865.0,50865.0
100300010014,1001,713.31,713.31,713.31,0.0,1,1000.0,713306.92,V,0.0,0.0
100300020001,1001,172.01,172.01,172.01,0.0,1,345.0,59344.17,V,0.0,0.0
100300020004,1000,368.06,368.06,368.06,0.0,1,8.0,2944.49,V,0.0,0.0
100300020006,1000,313.76,1.0,1.0,0.0,1,9.0,2823.84,V,31276.0,31276.0
100300020007,1000,227.14,227.14,227.14,0.0,1,84.0,19079.44,V,0.0,0.0
100300020025,1000,180.79,180.79,180.79,0.0,1,634.0,114620.9,V,0.0,0.0
100300020026,1001,104.02,104.02,104.02,0.0,1,400.0,41607.83,V,0.0,0.0
100300020029,1000,60.18,1.0,1.0,0.0,1,591.18,35579.52,V,5918.0,5918.0
100300020034,1001,203.98,1.0,1.0,0.0,1,200.0,40796.0,V,20298.0,20298.0
100300020035,1000,131.35,131.35,131.35,0.0,1,240.0,31523.6,V,0.0,0.0
100300020039,1000,120.61,120.61,120.61,0.0,1,233.0,28102.12,V,0.0,0.0
100300020039,1000,120.61,120.61,120.61,0.0,1,3.0,361.83,V,0.0,0.0
100300020041,1000,443.81,1.0,1.0,0.0,1,238.0,105625.71,V,44281.0,44281.0
100300020041,1001,419.83,419.83,419.83,0.0,1,570.0,239300.99,V,0.0,0.0
100300020044,1001,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100300020053,1001,1.93,1.93,1.93,0.0,1,10.0,19.25,V,0.0,0.0
100300020055,1001,2.76,1.0,1.0,0.0,1,10.0,27.6,V,175.99999999999997,175.99999999999997
100300020068,1000,20.33,20.33,20.33,0.0,1,473.0,9615.22,V,0.0,0.0
100300020068,1001,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100400010003,1001,60.49,59.18,59.18,0.0,1,97.4,5891.32,V,2.2135856708347452,2.2135856708347452
100400010004,1000,92.59,92.59,92.59,0.0,1,0.81,75.0,V,0.0,0.0
100400010013,1001,61.83,61.83,61.83,0.0,1,0.0,0.0,V,0.0,0.0
100400010013,1001,64.68,64.68,64.68,0.0,1,0.0,0.0,V,0.0,0.0
100400010013,1001,17.74,63.3,63.3,61.92,1,0.0,0.0,V,-71.9747235387046,-71.9747235387046
100500010005,1001,62.06,62.03,62.03,61.96,1,2750.752,170702.54,V,0.048363694986298784,0.048363694986298784
100500010005,1001,62.36,62.42,62.42,61.96,1,14472.714,902466.56,V,-0.09612303748798827,-0.09612303748798827
100500010005,1001,61.88,61.88,61.88,61.96,1,22162.5,1371365.13,V,0.0,0.0
100500010005,1001,61.84,61.84,61.84,0.0,1,0.0,0.0,V,0.0,0.0
100500010005,1001,63.31,62.06,62.06,0.0,1,0.0,0.0,V,2.014179825974863,2.014179825974863
100600010003,1000,804.28,804.28,804.28,0.0,1,1.73,1391.41,V,0.0,0.0
100600010003,1001,629.02,629.02,629.02,640.18,1,9995.232,6287200.83,V,0.0,0.0
100700010003,1001,106.45,1.0,1.0,0.0,1,310.0,32999.9,V,10545.0,10545.0
100700010003,1001,175.49,175.49,175.49,0.0,1,30.0,5264.7,V,0.0,0.0
100700010006,1001,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100700010008,1001,126.9,1.0,1.0,0.0,1,97.4,12360.06,V,12590.0,12590.0
100700010010,1001,122.38,125.18,125.18,101.56,1,35743.6,4374262.45,V,-2.2367790381850226,-2.2367790381850226
100700010010,1001,65.67,1.0,1.0,115.9,1,35018.381,2299576.52,V,6467.0,6467.0
100700010010,1015,84.47,84.47,84.47,115.9,1,20256.692,1711163.58,V,0.0,0.0
100700020016,1001,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100800010001,1000,242.63,1.0,1.0,0.0,1,4133.85,1003014.74,V,24163.0,24163.0
100800010001,1001,227.83,232.72,232.72,233.8,1,1.2,273.39,V,-2.1012375386730775,-2.1012375386730775
100800010001,1001,233.79,233.79,233.79,0.0,1,0.0,0.0,V,0.0,0.0
100800010001,1001,235.44,239.23,239.23,0.0,1,0.0,0.0,V,-1.5842494670400837,-1.5842494670400837
100800010001,1001,227.83,232.72,232.72,233.8,1,6000.0,1366969.5,V,-2.1012375386730775,-2.1012375386730775
100800010001,1001,236.75,236.75,236.75,0.0,1,8000.0,1894006.81,V,0.0,0.0
100800010001,1001,236.75,236.75,236.75,0.0,1,7250.0,1716443.67,V,0.0,0.0
100800010001,1001,233.36,233.38,233.38,0.0,1,0.0,0.0,V,-0.008569714628495076,-0.008569714628495076
100800010002,1001,0.86,1.0,1.0,0.87,1,80832.2,69707.59,V,-14.000000000000002,-14.000000000000002
100800010002,1001,0.87,0.87,0.87,0.0,1,68122.2,59266.34,V,0.0,0.0
100800010003,1001,0.5,1.0,1.0,0.45,1,510630.0,254022.75,V,-50.0,-50.0
100800010003,1015,0.45,0.45,0.45,0.45,1,17280.0,7779.18,V,0.0,0.0
100800010007,1001,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100900010003,1000,1.0,1.0,1.0,0.0,1,0.0,0.0,V,0.0,0.0
100900020007,1001,42.77,146.38,146.38,143.76,1,79.0,3378.67,V,-70.78152753108348,-70.78152753108348
100900020019,1001,72.18,70.76,70.76,81.22,1,219.0,15806.44,V,2.0067834934991544,2.0067834934991544
100900030004,1001,361.6,1.0,1.0,0.0,1,20.0,7232.08,V,36060.0,36060.0
100900030021,1001,285.8,288.62,288.62,272.23,1,34.0,9717.04,V,-0.9770632665788903,-0.9770632665788903
100900030024,1000,142.87,142.87,142.87,0.0,1,546.0,78008.44,V,0.0,0.0
100900030027,1001,58.44,1.0,1.0,0.0,1,2589.0,151311.62,V,5744.0,5744.0
100900030030,1000,269.29,1.0,1.0,0.0,1,184.0,49549.31,V,26829.000000000004,26829.000000000004
100900030040,1000,312.97,312.97,312.97,0.0,1,2589.0,810292.27,V,0.0,0.0
