Sales document,Sales Document Item,Material,Material Group,Product hierarchy,Net Value,Order Quantity,Sales unit,Net Price,Material_Clean,Moving price,Unit_Price,Unit_Cost,Profit_Margin,Flag
20000297,10,200300013250,B0003,,1876875.25,308.0,EA,18.75,200300013250,5376.0,6093.750811688312,5376.0,11.778473289580653,
20000435,10,200300013300,B0003,,1014552.4,168.0,EA,18.3,200300013300,5307.92,6039.002380952381,5307.92,12.106012464215748,
20000483,10,200300013300,B0003,,7399260.0,1212.0,EA,18.5,200300013300,5307.92,6105.0,5307.92,13.056183456183454,
10000641,10,200300013250,B0003,,3247790.5,602.0,EA,16.6,200300013250,5307.92,5395.000830564784,5307.92,1.6141022642932208,
10000532,10,200300013300,B0003,,1665312.4,304.0,EA,16.6,200300013300,5307.92,5478.001315789474,5307.92,3.104806041196833,
20000147,20,200300013350,B0003,,694120.0,112.0,EA,6197.5,200300013350,5307.92,6197.5,5307.92,14.353852359822508,
20000175,20,202038003350,B0003,,694120.0,112.0,EA,6197.5,202038003350,5371.6,6197.5,5371.6,13.32634126663977,
20000544,20,200300013250,B0003,,684319.8,112.0,EA,6110.0,200300013250,5307.92,6109.998214285714,5307.92,13.12730685273172,
20000594,10,200300013250,B0003,,65000.0,10.0,EA,20.0,200300013250,5307.92,6500.0,5307.92,18.339692307692307,
10000554,10,200300013300,B0003,,1686300.0,280.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
20000550,10,200300013300,B0003,,1517670.5,252.0,EA,6022.5,200300013300,5307.92,6022.501984126984,5307.92,11.865201306871285,
20000346,10,200300013300,B0003,,1686300.0,280.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
10000482,10,200300013300,B0003,,3390750.5,548.0,EA,18.75,200300013300,5307.92,6187.500912408759,5307.92,14.215446993224656,
20000389,10,200300013300,B0003,,7419720.0,1232.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
20000248,10,200300013300,B0003,,2859120.0,456.0,EA,19.0,200300013300,5307.92,6270.0,5307.92,15.344178628389155,
13000080,10,200100013400,B0003,,11888100.0,999.0,EA,11900.0,200100013400,6765.0,11900.0,6765.0,43.15126050420168,
20000315,10,200300013300,B0003,,1665312.4,304.0,EA,16.6,200300013300,5307.92,5478.001315789474,5307.92,3.104806041196833,
10000312,10,200300013300,B0003,,170940.0,28.0,EA,18.5,200300013300,5307.92,6105.0,5307.92,13.056183456183454,
20000626,10,200300013300,B0003,,57172.38,9.0,EA,19.25,200300013300,5307.92,6352.486666666667,5307.92,16.443429502147712,
20000294,10,200300013300,B0003,,665280.0,112.0,EA,18.0,200300013300,5307.92,5940.0,5307.92,10.64107744107744,
10000623,10,200300013250,B0003,,3873610.5,718.0,EA,16.6,200300013250,5307.92,5395.00069637883,5307.92,1.6140998172118737,
20000493,10,200300013300,B0003,,9960720.0,1715.0,EA,17.6,200300013300,5307.92,5808.0,5307.92,8.610192837465563,
10000325,10,200300013300,B0003,,14638008.0,2492.0,EA,17.8,200300013300,5307.92,5874.0,5307.92,9.637044603336737,
20000406,10,200300013350,B0003,,1369480.23,224.0,EA,6113.75,200300013350,5307.92,6113.751026785714,5307.92,13.180632041690735,
20000381,10,200300013300,B0003,,674520.0,112.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
20000559,10,200300013350,B0003,,1883035.44,308.0,EA,6113.75,200300013350,5307.92,6113.751428571429,5307.92,13.180637747317173,
10000297,10,200300013300,B0003,,1031183.8,168.0,EA,18.6,200300013300,5307.92,6137.9988095238095,5307.92,13.523606557822184,
20000400,20,200300013300,B0003,,1011780.08,168.0,EA,18.25,200300013300,5307.92,6022.500476190476,5307.92,11.865179239346151,
10000134,10,202038003300,B0003,,1709400.0,280.0,EA,6105.0,202038003300,5463.0,6105.0,5463.0,10.515970515970515,
10001525,10,100111110015,CELL,,150000.5,1000.0,EA,150.0,100111110015,69.36,150.0005,69.36,53.76015413281955,
10000660,10,200300013300,B0003,,1287330.5,235.0,EA,16.6,200300013300,5307.92,5478.002127659574,5307.92,3.104820401598499,
20000507,10,200300013300,B0003,,1011780.0,168.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
10000110,10,200100013450,B0003,,43470.5,6.0,EA,7245.08,200100013450,6729.0,7245.083333333333,6729.0,7.12322149503686,
10000766,10,200300013300,B0003,,674520.0,112.0,EA,18.25,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
20000414,10,200300013300,B0003,,2866710.5,476.0,EA,6022.5,200300013300,5307.92,6022.501050420168,5307.92,11.865187642770348,
20000371,10,200300013300,B0003,,1686300.0,280.0,EA,6022.5,200300013300,5293.8,6022.5,5293.8,12.09962640099626,
20000832,10,200300013250,B0003,,877500.25,150.0,EA,18.0,200300013250,5376.0,5850.001666666667,5376.0,8.102590284162318,
10000510,10,200300013300,B0003,,1686300.0,280.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
10000761,10,200300013300,B0003,,843150.5,140.0,EA,6022.5,200300013300,5307.92,6022.503571428571,5307.92,11.865224535833162,
20000501,10,200300013300,B0003,,18549300.0,3080.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
10001157,10,200300013300,B0003,,950400.0,96.0,EA,30.0,200300013300,5307.92,9900.0,5307.92,46.38464646464647,
10000719,10,200300013350,B0003,,376875.25,60.0,EA,6281.25,200300013350,5307.92,6281.254166666667,5307.92,15.495857050841092,
20000294,10,200300013300,B0003,,665280.0,112.0,EA,18.0,200300013300,5307.92,5940.0,5307.92,10.64107744107744,
10000527,20,200300013300,B0003,,168629.84,28.0,EA,6022.49,200300013300,5307.92,6022.494285714286,5307.92,11.865088646232484,
20000426,20,200300013350,B0003,,342370.0,56.0,EA,6113.75,200300013350,5307.92,6113.75,5307.92,13.180617460641994,
10000482,10,200300013300,B0003,,3390750.5,548.0,EA,18.75,200300013300,5307.92,6187.500912408759,5307.92,14.215446993224656,
10000601,10,200300013300,B0003,,1349040.0,224.0,EA,6022.5,200300013300,5307.92,6022.5,5307.92,11.865172270651724,
10000482,10,200300013300,B0003,,3390750.5,548.0,EA,18.75,200300013300,5307.92,6187.500912408759,5307.92,14.215446993224656,
20000832,10,200300013250,B0003,,877500.25,150.0,EA,18.0,200300013250,5307.92,5850.001666666667,5307.92,9.266350636367344,
